ref_img,dist_img,dst_type,dst_lev,var,mos,DSSIM,SSIMULACRA,Butteraugli,Butteraugli_XL,Butteraugli_XL_3m,Butteraugli_XL_2s,Butteraugli_XL_3s,Butteraugli_XL_6s,Butteraugli_XL_12s
i01.bmp,i01_08_3.bmp,8,3,0.11855999999999994,3.4864900000000003,0.08527488,0.14251935,13.573232999999998,11.0052013397,4.341689,2.885195,3.121102,4.093212,5.810753
i01.bmp,i01_08_4.bmp,8,4,0.09035,3.0,0.21894756,0.26205827,20.100443,19.2764663696,7.467152,5.572931,5.913498,7.069648,9.41831
i01.bmp,i01_08_5.bmp,8,5,0.10955999999999999,2.11111,0.50577435,0.37770844,59.365616,38.0774726868,15.601111,11.308789,12.196239,14.873133,19.73396
i01.bmp,i01_09_1.bmp,9,1,0.18162,6.08333,0.01510204,0.06113798,4.046405,3.544629097,1.389678,1.083704,1.136751,1.317141,1.715143
i01.bmp,i01_09_2.bmp,9,2,0.15466,5.16667,0.03134096,0.09197671,5.719309,6.9340081215,2.145515,1.579655,1.653547,1.931615,2.851382
i01.bmp,i01_09_3.bmp,9,3,0.12312999999999999,4.42857,0.08099586,0.15918622,9.20264,9.8442430496,3.478974,2.750926,2.875792,3.264317,4.296813
i01.bmp,i01_09_4.bmp,9,4,0.10701,2.81081,0.19373558,0.26682973,18.617666,17.2172260284,6.397972,4.899245,5.172443,6.054454,7.967019
i01.bmp,i01_09_5.bmp,9,5,0.11205,1.54054,0.47754141,0.41140456,45.349213,31.0474014282,14.139611,11.421506,11.990477,13.663784,16.764572
i01.bmp,i01_10_1.bmp,10,1,0.15519000000000002,5.97297,0.00783846,0.03356718,2.186986,2.0767519474,0.97931,0.849606,0.877602,0.957758,1.10257
i01.bmp,i01_10_2.bmp,10,2,0.16192,5.94595,0.01700507,0.05485719,3.214875,3.5486559868,1.448656,1.246247,1.281655,1.390556,1.673757
i01.bmp,i01_10_3.bmp,10,3,0.15404,4.91667,0.04741899,0.10753504,5.882429,5.7505731583,2.483611,2.170146,2.221075,2.388374,2.841383
i01.bmp,i01_10_4.bmp,10,4,0.10902,3.21622,0.15987910000000002,0.21067809,13.942888,18.424331665,7.404878,4.784161,5.133139,6.830529,10.250968
i01.bmp,i01_10_5.bmp,10,5,0.15934,2.08108,0.39363456,0.33329322,20.606966,22.6637115479,11.056727,9.471841,9.791568,10.751414,12.627198
I01.bmp,I01_11_1.BMP,11,1,0.16349,5.91429,0.01087287,0.03678057,3.324178,3.2125506401,1.195129,0.955502,0.997894,1.129659,1.457833
i01.bmp,i01_11_2.bmp,11,2,0.14329,5.6756800000000025,0.02482439,0.0640233,3.979794,4.3666148186,1.742647,1.417349,1.475014,1.656404,2.096525
i01.bmp,i01_11_3.bmp,11,3,0.12922,4.69444,0.05127092,0.10522251,6.155603,5.5249247551,2.463441,2.071867,2.14005,2.361229,2.889043
i01.bmp,i01_11_4.bmp,11,4,0.10847000000000001,3.6756800000000003,0.16545434,0.21732912,14.128929,19.4934959412,6.19761,4.396621,4.598258,5.440929,8.553643
i01.bmp,i01_11_5.bmp,11,5,0.11839000000000001,1.45946,0.62060369,0.4029444,61.94622800000001,47.8139266968,17.238672,12.140375,13.104539,16.225154,22.386325
i01.bmp,i01_12_1.bmp,12,1,0.15734,5.94595,0.02234208,0.11900704,7.769835,7.2250781059,2.603608,1.244793,1.703541,2.577794,3.529489
i01.bmp,i01_12_2.bmp,12,2,0.16732,5.86486,0.0275559,0.11622008,8.033503999999999,8.0005998611,2.725563,1.36711,1.852691,2.695603,3.628394
i01.bmp,i01_12_3.bmp,12,3,0.13315,4.21622,0.06590672,0.15205415,23.340252,14.4515886307,4.421492,2.359095,2.83607,3.940322,6.488083
i01.bmp,i01_12_4.bmp,12,4,0.13889,3.83333,0.12419497,0.20613816,17.222065,10.7846240997,3.863434,2.739524,3.033398,3.639443,4.917462
i01.bmp,i01_12_5.bmp,12,5,0.11805999999999996,3.43243,0.21200012,0.27914728,15.358796,9.690322876,4.076892,3.382264,3.523656,3.914915,4.792104
I01.bmp,I01_13_1.BMP,13,1,0.13565,5.45946,0.01225007,0.04698341,4.622251,4.5601620674,1.597998,0.842288,1.065453,1.55501,2.173531
i01.bmp,i01_13_2.bmp,13,2,0.09365,3.9142900000000003,0.05946948,0.10560247,17.001566,14.4778251648,4.104378,1.859204,2.298059,3.680723,6.334351
i01.bmp,i01_13_3.bmp,13,3,0.09305,3.2777800000000004,0.16310457,0.18177517,25.502932,14.0943346024,5.022498,3.389022,3.687416,4.665297,6.714779
i01.bmp,i01_13_4.bmp,13,4,0.11452999999999999,3.16667,0.23115838,0.23911026,20.560286,14.7477798462,5.254954,3.593704,3.853825,4.821829,7.089207
i01.bmp,i01_13_5.bmp,13,5,0.09955,3.10811,0.18370757,0.245041,24.482262,22.2124996185,8.244538,3.789293,4.733816,7.865386,12.134412
i01.bmp,i01_14_1.bmp,14,1,0.12922,5.69444,0.02939062,0.03566153,15.555959,13.6438789368,3.794086,1.112175,1.829786,3.589443,5.963029
i01.bmp,i01_14_2.bmp,14,2,0.14777,6.05405,0.0439758,0.05279065,21.291428,17.6018505096,4.546358,1.32562,2.118421,4.133657,7.386995
i01.bmp,i01_14_3.bmp,14,3,0.12908,5.75676,0.11592793,0.09208918,28.226574,25.9698524475,7.115185,2.512404,3.721626,6.576545,11.047382
i01.bmp,i01_14_4.bmp,14,4,0.1329,5.55556,0.2251695,0.10223947,31.744198,30.7804031372,8.947124,3.43995,4.806386,8.26841,13.766576
i01.bmp,i01_14_5.bmp,14,5,0.1264,4.4705900000000005,0.34753813,0.12729304,42.168537,39.2833824158,12.189468,4.990625,6.81631,11.449813,18.302279
i01.bmp,i01_15_1.bmp,15,1,0.12729000000000001,2.83333,0.10223221,0.09288961,80.82103000000002,81.3468170166,25.209268,7.577371,12.855573,24.522179,38.250052
i01.bmp,i01_15_2.bmp,15,2,0.12445,2.82857,0.09386893,0.09456154,78.003716,84.7747497559,27.649682,8.460901,14.499182,27.362583,41.087282
i01.bmp,i01_15_3.bmp,15,3,0.15659,3.10811,0.08974523,0.08354096,68.571854,82.350440979,28.691604,8.207877,14.584877,28.536338,42.953597
i01.bmp,i01_15_4.bmp,15,4,0.13249,3.58333,0.07155651,0.07671932,68.170776,89.2871704102,31.236474,8.063596,15.102047,30.995109,47.612267
i01.bmp,i01_15_5.bmp,15,5,0.15185,3.89189,0.0357274,0.0532349,77.51978299999998,103.0369338989,33.449926,7.001736,14.518153,32.751387,53.080238
i01.bmp,i01_16_1.bmp,16,1,0.14604,5.80556,0.00053165,0.00299884,3.094135,6.0885658264,4.765992,4.561958,4.606434,4.737319,4.954223
i01.bmp,i01_16_2.bmp,16,2,0.21263,6.05405,0.00135924,0.00456608,5.053278,10.2253131866,7.77327,7.34946,7.442119,7.715913,8.161778
i01.bmp,i01_16_3.bmp,16,3,0.12897,4.88889,0.00626247,0.03292214,10.576497,19.6999588013,16.051456,15.549122,15.657568,15.976432,16.520367
i01.bmp,i01_16_4.bmp,16,4,0.14952000000000001,5.02778,0.01123589,0.02437726,14.899833,30.1735725403,22.403565,20.944183,21.263125,22.211353,23.736219
i01.bmp,i01_16_5.bmp,16,5,0.11665999999999999,4.19444,0.02999357,0.13022833,21.414936,37.9205551147,32.22904,31.651155,31.770827,32.125059,32.791235
i01.bmp,i01_17_1.bmp,17,1,0.16755,5.35135,0.00414222,0.00438475,4.462831,5.1404013634,2.825236,2.204431,2.365684,2.77186,3.338164
i01.bmp,i01_17_2.bmp,17,2,0.22401999999999997,6.62162,0.01267142,0.02490006,8.431287,9.5723905563,5.262202,4.254615,4.50083,5.130752,6.155023
i01.bmp,i01_17_3.bmp,17,3,0.11705,4.08108,0.02992318,0.02415211,11.71745,13.1439905167,7.37188,5.703656,6.144498,7.260397,8.710746
i01.bmp,i01_17_4.bmp,17,4,0.25182,6.24324,0.05160573,0.07820258,15.31648,19.3081798553,10.877136,8.95364,9.418958,10.591158,12.621293
i01.bmp,i01_17_5.bmp,17,5,0.11055,2.97143,0.1604283,0.10300724,25.995222,28.9343967438,15.709266,12.023374,12.990189,15.502694,18.634914
i01.bmp,i01_18_1.bmp,18,1,0.14976,4.62162,0.00325938,0.00551172,7.791853999999999,11.8605527878,6.083587,3.710468,4.367813,6.061234,7.821714
i01.bmp,i01_18_2.bmp,18,2,0.15270999999999998,4.22222,0.00634557,0.00957777,12.686624,17.2667961121,8.787098,5.28174,6.266269,8.774353,11.320674
i01.bmp,i01_18_3.bmp,18,3,0.12832000000000002,3.7714300000000014,0.01234283,0.01821448,19.836931,26.3332328796,13.479116,8.031243,9.638509,13.547339,17.251501
i01.bmp,i01_18_4.bmp,18,4,0.13881,3.4722199999999996,0.02284748,0.03353644,30.112215000000006,41.9109725952,19.118545,11.382501,13.62552,19.150726,24.57939
i01.bmp,i01_18_5.bmp,18,5,0.14367,3.41667,0.04211371,0.05562308,41.982613,45.0113067627,23.797064,14.8128,17.3044,23.852135,30.234657
i01.bmp,i01_19_1.bmp,19,1,0.17098,5.94444,0.01118627,0.07656894,2.993235,2.5095143318,1.128812,0.930405,0.973554,1.09862,1.314263
i01.bmp,i01_19_2.bmp,19,2,0.10747999999999999,5.47222,0.02165989,0.12104568,4.04266,3.0871961117,1.478411,1.268249,1.314846,1.446459,1.673927
i01.bmp,i01_19_3.bmp,19,3,0.14493,5.08108,0.04122528,0.17608127,5.091152,3.6798813343,1.926083,1.718934,1.765068,1.894281,2.118901
i01.bmp,i01_19_4.bmp,19,4,0.12721,4.52778,0.07732643,0.24557669,7.584028999999999,4.4938855171,2.535335,2.321752,2.36884,2.501102,2.736063
i01.bmp,i01_19_5.bmp,19,5,0.11072,3.94444,0.13707926,0.31901321,10.988699,5.777223587,3.343082,3.125625,3.172798,3.306232,3.550216
i01.bmp,i01_20_1.bmp,20,1,0.14648,5.85714,0.00744863,0.04828532,2.560978,2.1863548756,1.012263,0.836486,0.875111,0.985084,1.176594
i01.bmp,i01_20_2.bmp,20,2,0.13889,5.83333,0.01527851,0.07110509,3.3532050000000004,2.985001564,1.328847,1.136988,1.177656,1.294247,1.514639
i01.bmp,i01_20_3.bmp,20,3,0.12099000000000001,6.02778,0.03201736,0.11563899,4.385375,3.5839555264,1.76373,1.556169,1.601334,1.728836,1.961018
i01.bmp,i01_20_4.bmp,20,4,0.09919,5.08333,0.08092616,0.21514627,6.991022,5.0976471901,2.552529,2.300627,2.353195,2.504065,2.800327
i01.bmp,i01_20_5.bmp,20,5,0.12423,4.33333,0.24059881,0.41898357,12.969406,11.7258968353,4.331743,3.681609,3.76776,4.064728,5.162741
i01.bmp,i01_21_1.bmp,21,1,0.16601,5.7027,0.01570659,0.05670959,4.113332,3.041880846,1.329327,1.103409,1.149399,1.288156,1.550427
i01.bmp,i01_21_2.bmp,21,2,0.10101,5.27778,0.03267661,0.0932489,4.773752,3.761726141,1.78939,1.548333,1.597378,1.743938,2.026854
i01.bmp,i01_21_3.bmp,21,3,0.12119,4.675680000000002,0.06680964,0.14940419,7.881588000000002,5.5641674995,2.518413,2.17968,2.240416,2.433992,2.880832
i01.bmp,i01_21_4.bmp,21,4,0.13964000000000001,4.05714,0.14153216,0.25356878,13.571852,7.1995749474,3.495575,3.081859,3.158899,3.401369,3.926457
i01.bmp,i01_21_5.bmp,21,5,0.11432,3.05405,0.28637089,0.3510257,16.403952,12.1470756531,5.369639,4.655528,4.788062,5.209106,6.111749
i01.bmp,i01_22_1.bmp,22,1,0.1329,5.55556,0.01045172,0.07604441,5.341942,7.8220658302,2.186889,1.153847,1.32799,1.930976,3.3017
i01.bmp,i01_22_2.bmp,22,2,0.14218,5.18919,0.02206426,0.1494505,9.687028,10.0649557114,3.514103,2.181345,2.504181,3.315277,4.72285
i01.bmp,i01_22_3.bmp,22,3,0.10985,4.30556,0.0559932,0.18928575,24.666731,35.4503326416,10.028012,3.47978,4.483097,9.065823,16.535115
i01.bmp,i01_22_4.bmp,22,4,0.10477,3.1621599999999996,0.08286678,0.23972101,24.496777,35.4887275696,13.336874,6.695194,8.598126,13.084228,18.32827
i01.bmp,i01_22_5.bmp,22,5,0.10259000000000001,2.19444,0.27059489,0.38278106,36.053993,61.7074432373,21.572828,11.583547,13.64728,20.157489,30.913715
i01.bmp,i01_23_1.bmp,23,1,0.13138,6.28571,0.00178218,0.02577226,2.136819,1.6518195868,0.636577,0.431793,0.471197,0.60181,0.836724
i01.bmp,i01_23_2.bmp,23,2,0.14314000000000002,5.61111,0.0059159,0.04708514,4.5087660000000005,3.4581084251,1.258139,0.822143,0.901274,1.172909,1.700233
i01.bmp,i01_23_3.bmp,23,3,0.13095,5.77778,0.01238178,0.06476779,7.110706,5.6495337486,1.969497,1.22573,1.349915,1.804174,2.754403
i01.bmp,i01_23_4.bmp,23,4,0.1231,4.80556,0.02845203,0.08796447,11.667413,10.1990919113,3.40957,1.887764,2.151488,3.156292,4.920929
i01.bmp,i01_23_5.bmp,23,5,0.12361,2.40541,0.28315847,0.35947070000000003,46.698196,37.3665466309,12.098786,6.993763,7.639659,10.768574,17.888124
i01.bmp,i01_24_1.bmp,24,1,0.16601,5.7027,0.01286704,0.045287699999999986,3.193817,2.3319702148,1.155616,1.006945,1.039228,1.131599,1.296022
i01.bmp,i01_24_2.bmp,24,2,0.15404,5.58333,0.0299589,0.07862111,4.389874,3.4793245792,1.702053,1.522206,1.560962,1.670565,1.874632
i01.bmp,i01_24_3.bmp,24,3,0.14695999999999998,5.10811,0.07425212,0.13140510000000002,7.694004,6.6113448143,2.810788,2.462445,2.529545,2.728818,3.174002
i01.bmp,i01_24_4.bmp,24,4,0.10382000000000001,3.08108,0.20893813,0.2496152,18.809345,14.3349266052,6.105513,4.894126,5.139684,5.871516,7.305339
i01.bmp,i01_24_5.bmp,24,5,0.11839000000000001,0.45946000000000004,0.6656711999999999,0.39790829,67.772667,46.1137542725,16.256513,11.10857,12.076497,15.325797,21.367244
I02.bmp,I02_01_1.bmp,1,1,0.12995,5.74286,0.01186097,0.0833995,3.2994790000000003,2.6204137802,1.364128,1.21316,1.248486,1.34334,1.500556
i02.bmp,i02_01_2.bmp,1,2,0.13366,5.34286,0.02329856,0.1371349,5.265877,3.1225326061,1.78091,1.619188,1.656677,1.758109,1.927945
i02.bmp,i02_01_3.bmp,1,3,0.11857999999999999,5.22222,0.045175,0.21305927,6.917324000000002,4.1818361282,2.328586,2.160536,2.197804,2.301862,2.486091
i02.bmp,i02_01_4.bmp,1,4,0.09477000000000001,4.19444,0.08395969,0.29735535,8.907581,5.0797467232,3.087876,2.91441,2.952967,3.060016,3.250644
i02.bmp,i02_01_5.bmp,1,5,0.11135,3.9729699999999997,0.15424836,0.39206991,12.536232,7.4083938599,4.425692,4.180971,4.229484,4.373847,4.673747
i02.bmp,i02_02_1.bmp,2,1,0.16641,6.05556,0.00469852,0.04719861,2.727286,2.1479876041,1.021418,0.874184,0.908607,1.001447,1.154201
i02.bmp,i02_02_2.bmp,2,2,0.15263,6.05405,0.00925931,0.0799171,3.550326,2.6686625481,1.349194,1.189234,1.226564,1.327102,1.493917
i02.bmp,i02_02_3.bmp,2,3,0.12897,5.88889,0.0185966,0.12917944,4.857717,3.3021407127,1.780685,1.614105,1.652501,1.756803,1.932749
i02.bmp,i02_02_4.bmp,2,4,0.10719000000000001,5.2973,0.03546234,0.19585775,6.532958,4.0477280617,2.345103,2.179842,2.21693,2.319454,2.498927
i02.bmp,i02_02_5.bmp,2,5,0.11965999999999999,4.38889,0.06972804,0.27935699,9.392667,5.2158036232,3.231658,3.058784,3.096452,3.202147,3.396375
i02.bmp,i02_03_1.bmp,3,1,0.11285,4.8,0.03188323,0.07795572,6.779452,5.1067533493,2.274179,1.883507,1.965492,2.205785,2.651261
i02.bmp,i02_03_2.bmp,3,2,0.13535,4.43243,0.06211568,0.13086752,11.313867,7.7332620621,3.053719,2.540514,2.641994,2.943467,3.575696
i02.bmp,i02_03_3.bmp,3,3,0.09755,3.8378400000000004,0.12069822,0.20548468,17.095919,8.674038887,3.975703,3.396548,3.511095,3.857025,4.55899
i02.bmp,i02_03_4.bmp,3,4,0.0832,3.5277800000000004,0.23245849,0.30762973,20.818789,10.5394001007,5.186774,4.519856,4.654333,5.059456,5.846535
i02.bmp,i02_03_5.bmp,3,5,0.09652999999999999,2.91892,0.427005,0.41966821,33.473419,13.1539764404,6.686071,5.909404,6.062907,6.53185,7.463457
i02.bmp,i02_04_1.bmp,4,1,0.15424000000000002,6.28571,0.0047423000000000005,0.05160175,3.868522,3.0967521667,1.149179,0.810822,0.872937,1.08341,1.491189
i02.bmp,i02_04_2.bmp,4,2,0.13521,6.16216,0.00958197,0.08466903,5.238127,4.6558523178,1.760494,1.161855,1.264875,1.653525,2.363082
i02.bmp,i02_04_3.bmp,4,3,0.14065,5.19444,0.01961606,0.13347386,7.749644,7.1857481003,2.819224,1.707767,1.903136,2.666388,3.88815
i02.bmp,i02_04_4.bmp,4,4,0.11671,4.74286,0.0418572,0.20401727,12.506124,11.8844451904,4.688718,2.655736,3.0467,4.472136,6.547319
i02.bmp,i02_04_5.bmp,4,5,0.12500999999999998,4.28571,0.09361295,0.30164747,19.797398,18.6197929382,7.736261,4.383425,5.093106,7.413044,10.702633
i02.bmp,i02_05_1.bmp,5,1,0.14861,6.11765,0.00753326,0.08514537,3.645856,2.4801225662,1.179545,1.0425,1.073892,1.159356,1.305386
i02.bmp,i02_05_2.bmp,5,2,0.12284,6.11111,0.01448745,0.13853622,4.807930000000002,3.0951530933,1.537036,1.394524,1.426287,1.514396,1.670426
i02.bmp,i02_05_3.bmp,5,3,0.11805999999999996,5.43243,0.04118418,0.2600206,7.642386,4.4753584862,2.493029,2.348935,2.379483,2.466982,2.632622
i02.bmp,i02_05_4.bmp,5,4,0.12297000000000001,4.37838,0.11280314,0.4026845,12.087024,7.8535366058,5.031099,4.721541,4.782163,4.967445,5.34369
i02.bmp,i02_05_5.bmp,5,5,0.08217,3.41667,0.31569065,0.56447257,21.042511,18.8850231171,12.513994,11.575623,11.765273,12.338431,13.438278
i02.bmp,i02_06_1.bmp,6,1,0.12696,4.55556,0.06643552,0.0646129,14.503688,9.2025165558,3.339455,1.680341,2.133422,3.243032,4.641912
i02.bmp,i02_06_2.bmp,6,2,0.10837999999999999,4.27778,0.12090669,0.0860329,18.510622,12.6431083679,4.2138,2.410293,2.899984,4.076631,5.664786
i02.bmp,i02_06_3.bmp,6,3,0.11241,3.7297300000000004,0.21426452,0.15092611,25.304073,15.1203269958,5.35652,3.54431,3.983451,5.121375,6.964734
i02.bmp,i02_06_4.bmp,6,4,0.08448,3.4857099999999996,0.34995101,0.25202851,32.661884,15.9422569275,6.648776,5.124357,5.46469,6.412888,8.068748
i02.bmp,i02_06_5.bmp,6,5,0.0836,3.10811,0.55772796,0.37673622,41.951912,17.3716087341,8.737479,7.400174,7.685164,8.517286,10.009987
i02.bmp,i02_07_1.bmp,7,1,0.11690999999999999,5.91429,0.0160481,0.06207473,5.699565,7.1126976013,2.906909,1.991102,2.163571,2.723502,3.833653
i02.bmp,i02_07_2.bmp,7,2,0.13249,5.58333,0.03027423,0.08975919,9.995132,7.8666648865,3.549501,2.716587,2.888203,3.399102,4.361197
i02.bmp,i02_07_3.bmp,7,3,0.10238,3.76471,0.06804624,0.13726986,13.997407,18.8457756042,7.268934,4.397642,4.834298,6.68258,10.289926
i02.bmp,i02_07_4.bmp,7,4,0.10400999999999999,3.75676,0.11058486,0.17702402,17.991388,24.5905647278,10.125384,6.808132,7.394916,9.470264,13.51097
i02.bmp,i02_07_5.bmp,7,5,0.10799,2.8571400000000002,0.19407344,0.25723326,28.099703,46.4294471741,21.837287,15.938291,17.283998,21.213013,27.014851
i02.bmp,i02_08_1.bmp,8,1,0.1419,6.10811,0.00509164,0.019343,5.985831,4.4794158936,1.476012,0.630293,0.834271,1.443368,2.150395
i02.bmp,i02_08_2.bmp,8,2,0.11452999999999999,5.16667,0.01622605,0.05805258,11.416702,7.2794413567,2.552335,1.215721,1.534399,2.500601,3.622007
i02.bmp,i02_08_3.bmp,8,3,0.0842,4.54286,0.04713494,0.13517910000000002,18.702017,11.6322250366,4.293865,2.29487,2.754615,4.190782,5.936197
i02.bmp,i02_08_4.bmp,8,4,0.10477,3.8378400000000004,0.11576183,0.23128645,27.112074,18.3512706757,6.934381,4.170387,4.806511,6.730109,9.266524
i02.bmp,i02_08_5.bmp,8,5,0.09735,3.02703,0.2525344,0.34127672,58.997822,43.551525116,13.655484,7.755268,8.937566,12.492404,19.536481
i02.bmp,i02_09_1.bmp,9,1,0.15649000000000002,6.0,0.01819236,0.06372082,4.746755,4.5077877045,1.781743,1.4763,1.534252,1.710809,2.100168
i02.bmp,i02_09_2.bmp,9,2,0.14212,5.51429,0.03099887,0.09356056,7.248121,5.8669996262,2.402206,1.963163,2.045217,2.303266,2.858134
i02.bmp,i02_09_3.bmp,9,3,0.12721,4.52778,0.0601469,0.13950566,10.661065,9.7040061951,3.641731,2.852931,2.995045,3.458599,4.471549
i02.bmp,i02_09_4.bmp,9,4,0.10955999999999999,3.64865,0.11518195,0.20076094,17.714527,14.4541845322,5.926051,4.478939,4.731728,5.61072,7.435706
i02.bmp,i02_09_5.bmp,9,5,0.08217,2.41667,0.24984632,0.29922694,37.710526,32.2347869873,13.840606,12.006719,12.331372,13.391885,15.798559
