dist_img,ref_img,dmos,var
I01_14_05.png,I01.png,2.27,0.68
I01_15_01.png,I01.png,3.57,0.989
I01_15_02.png,I01.png,2.63,0.912
I01_15_03.png,I01.png,1.77,0.607
I01_15_04.png,I01.png,1.4,0.49
I01_15_05.png,I01.png,1.33,0.471
I01_16_01.png,I01.png,4.37,0.547
I01_16_02.png,I01.png,4.47,0.562
I01_16_03.png,I01.png,3.94,0.504
I01_16_04.png,I01.png,3.17,0.898
I01_16_05.png,I01.png,2.18,0.796
I01_17_01.png,I01.png,4.5,0.5
I01_17_02.png,I01.png,4.57,0.496
I01_17_03.png,I01.png,4.33,0.596
I01_17_04.png,I01.png,3.4,0.879
I01_17_05.png,I01.png,2.13,0.846
I01_18_01.png,I01.png,4.5,0.5
I01_18_02.png,I01.png,4.57,0.496
I01_18_03.png,I01.png,4.57,0.496
I01_18_04.png,I01.png,4.37,0.795
I01_18_05.png,I01.png,3.97,0.657
I01_19_01.png,I01.png,4.53,0.499
I01_19_02.png,I01.png,3.93,0.727
I01_19_03.png,I01.png,2.77,0.803
I01_19_04.png,I01.png,1.53,0.562
I01_19_05.png,I01.png,1.37,0.482
I01_20_01.png,I01.png,4.53,0.67
I01_20_02.png,I01.png,3.9,1.136
I01_20_03.png,I01.png,4,0.966
I01_20_04.png,I01.png,3.33,1.35
I01_20_05.png,I01.png,3.23,1.542
I01_21_01.png,I01.png,3.37,0.948
I01_21_02.png,I01.png,2.57,0.883
I01_21_03.png,I01.png,2.03,0.74
I01_21_04.png,I01.png,2.13,0.884
I01_21_05.png,I01.png,1.43,0.559
I01_22_01.png,I01.png,4.63,0.605
I01_22_02.png,I01.png,4,0.894
I01_22_03.png,I01.png,4,0.931
I01_22_04.png,I01.png,3.2,0.98
I01_22_05.png,I01.png,2.2,0.909
I01_23_01.png,I01.png,2.73,0.929
I01_23_02.png,I01.png,2.17,0.86
I01_23_03.png,I01.png,2.2,0.945
I01_23_04.png,I01.png,2.37,1.197
I01_23_05.png,I01.png,1.57,0.616
I01_24_01.png,I01.png,3.57,0.92
I01_24_02.png,I01.png,2.5,0.847
I01_24_03.png,I01.png,1.87,0.67
I01_24_04.png,I01.png,1.6,0.554
I01_24_05.png,I01.png,1.4,0.554
I01_25_01.png,I01.png,3.43,0.844
I01_25_02.png,I01.png,3.87,0.806
I01_25_03.png,I01.png,4.26,0.566
I01_25_04.png,I01.png,4.17,0.582
I01_25_05.png,I01.png,3.27,0.854
I02_01_01.png,I02.png,4.5,0.719
I02_01_02.png,I02.png,4.17,0.934
I02_01_03.png,I02.png,2.07,0.772
I02_01_04.png,I02.png,1.57,0.496
I02_01_05.png,I02.png,1.27,0.512
I02_02_01.png,I02.png,3.2,0.748
I02_02_02.png,I02.png,2.27,0.854
I02_02_03.png,I02.png,1.57,0.616
I02_02_04.png,I02.png,1.17,0.373
I02_02_05.png,I02.png,1,0
I02_03_01.png,I02.png,4.6,0.554
I02_03_02.png,I02.png,3.77,0.716
I02_03_03.png,I02.png,2.33,0.699
I02_03_04.png,I02.png,1.8,0.542
I02_03_05.png,I02.png,1.2,0.4
I02_04_01.png,I02.png,4.3,0.64
I02_04_02.png,I02.png,2.67,0.869
I02_04_03.png,I02.png,1.87,0.763
I02_04_04.png,I02.png,1.77,0.716
I02_04_05.png,I02.png,1.53,0.718
I02_05_01.png,I02.png,3.77,0.761
I02_05_02.png,I02.png,1.8,0.476
I02_05_03.png,I02.png,1.33,0.471
I02_05_04.png,I02.png,1.37,0.482
I02_05_05.png,I02.png,1.47,0.562
I02_06_01.png,I02.png,4.2,0.872
I02_06_02.png,I02.png,4.07,0.727
I02_06_03.png,I02.png,3.97,0.948
I02_06_04.png,I02.png,3.7,0.936
I02_06_05.png,I02.png,2.63,0.983
I02_07_01.png,I02.png,2.47,1.087
I02_07_02.png,I02.png,2.37,1.048
I02_07_03.png,I02.png,2.06,1.045
I02_07_04.png,I02.png,1.97,1.048
I02_07_05.png,I02.png,1.53,0.763
I02_08_01.png,I02.png,4.4,0.554
I02_08_02.png,I02.png,3.4,0.879
I02_08_03.png,I02.png,3.06,1.043
I02_08_04.png,I02.png,1.97,0.912
I02_08_05.png,I02.png,1.37,0.752
I02_09_01.png,I02.png,4.57,0.716
I02_09_02.png,I02.png,3.73,0.814
I02_09_03.png,I02.png,3.07,1.123
I02_09_04.png,I02.png,1.53,0.562
I02_09_05.png,I02.png,1.27,0.442
I02_10_01.png,I02.png,4.6,0.554
I02_10_02.png,I02.png,4.33,0.596
I02_10_03.png,I02.png,4.13,0.718
I02_10_04.png,I02.png,2.6,1.281
I02_10_05.png,I02.png,1.6,0.757
I02_11_01.png,I02.png,4.27,0.929
I02_11_02.png,I02.png,3.7,0.936
I02_11_03.png,I02.png,3.4,0.841
I02_11_04.png,I02.png,2.73,0.772
I02_11_05.png,I02.png,2.3,0.69
I02_12_01.png,I02.png,4.63,0.547
I02_12_02.png,I02.png,4.06,0.84
I02_12_03.png,I02.png,3.67,0.83
I02_12_04.png,I02.png,2.6,0.8
I02_12_05.png,I02.png,2.37,0.706
I02_13_01.png,I02.png,4.2,0.702
I02_13_02.png,I02.png,3.33,1.164
I02_13_03.png,I02.png,2.73,0.892
I02_13_04.png,I02.png,2.53,0.806
I02_13_05.png,I02.png,1.97,0.547
I02_14_01.png,I02.png,4.33,0.699
I02_14_02.png,I02.png,3.37,0.836
I02_14_03.png,I02.png,2.7,0.781
I02_14_04.png,I02.png,2.33,0.869
I02_14_05.png,I02.png,2,0.73
I02_15_01.png,I02.png,3.57,0.883
I02_15_02.png,I02.png,2.77,0.716
I02_15_03.png,I02.png,2.03,0.795
I02_15_04.png,I02.png,1.5,0.563
I02_15_05.png,I02.png,1.5,0.671
I02_16_01.png,I02.png,4.4,0.841
I02_16_02.png,I02.png,4.4,0.554
I02_16_03.png,I02.png,3.77,0.716
I02_16_04.png,I02.png,2.9,0.907
I02_16_05.png,I02.png,1.83,0.734
I02_17_01.png,I02.png,4.5,0.5
I02_17_02.png,I02.png,4.63,0.547
I02_17_03.png,I02.png,4.33,0.596
I02_17_04.png,I02.png,3.63,0.795
I02_17_05.png,I02.png,1.9,0.79
I02_18_01.png,I02.png,4.13,0.67
I02_18_02.png,I02.png,4.63,0.547
I02_18_03.png,I02.png,4.73,0.442
I02_18_04.png,I02.png,4.33,0.537
I02_18_05.png,I02.png,4.03,0.605
I02_19_01.png,I02.png,4.17,0.778
I02_19_02.png,I02.png,4,0.73
I02_19_03.png,I02.png,3.23,0.955
I02_19_04.png,I02.png,1.57,0.496
I02_19_05.png,I02.png,1.3,0.458
I02_20_01.png,I02.png,4.5,0.671
I02_20_02.png,I02.png,4.47,0.618
I02_20_03.png,I02.png,4.4,0.712
I02_20_04.png,I02.png,3.83,0.898
I02_20_05.png,I02.png,4.4,0.841
I02_21_01.png,I02.png,4.2,1.046
I02_21_02.png,I02.png,3.23,0.955
I02_21_03.png,I02.png,3.13,1.118
I02_21_04.png,I02.png,2.67,1.011
I02_21_05.png,I02.png,1.37,0.547
I02_22_01.png,I02.png,4.73,0.442
I02_22_02.png,I02.png,4.26,0.879
I02_22_03.png,I02.png,4.4,0.841
I02_22_04.png,I02.png,3.93,0.929
I02_22_05.png,I02.png,3.2,1.013
I02_23_01.png,I02.png,2.1,0.907
I02_23_02.png,I02.png,2.7,1.038
I02_23_03.png,I02.png,2.27,0.998
I02_23_04.png,I02.png,2.2,0.748
I02_23_05.png,I02.png,2.07,0.772
I02_24_01.png,I02.png,3.07,0.964
I02_24_02.png,I02.png,1.93,0.68
I02_24_03.png,I02.png,1.47,0.618
I02_24_04.png,I02.png,1.23,0.423
I02_24_05.png,I02.png,1.2,0.476
I02_25_01.png,I02.png,3.37,0.795
I02_25_02.png,I02.png,3.7,0.936
I02_25_03.png,I02.png,4.27,0.512
I02_25_04.png,I02.png,4.1,0.746
I02_25_05.png,I02.png,3.33,0.699
I03_01_01.png,I03.png,4.7,0.458
I03_01_02.png,I03.png,4.63,0.482
I03_01_03.png,I03.png,3,0.856
I03_01_04.png,I03.png,1.83,0.637
I03_01_05.png,I03.png,1.17,0.373
I03_02_01.png,I03.png,4.03,0.836
I03_02_02.png,I03.png,2.7,0.9
I03_02_03.png,I03.png,1.7,0.64
I03_02_04.png,I03.png,1.47,0.562
I03_02_05.png,I03.png,1.23,0.496
I03_03_01.png,I03.png,4.6,0.49
I03_03_02.png,I03.png,4.37,0.706
I03_03_03.png,I03.png,2.93,0.814
I03_03_04.png,I03.png,2.23,0.716
I03_03_05.png,I03.png,1.63,0.605
I03_04_01.png,I03.png,4.6,0.49
I03_04_02.png,I03.png,2.9,0.978
I03_04_03.png,I03.png,1.53,0.718
I03_04_04.png,I03.png,1.2,0.6
I03_04_05.png,I03.png,1.1,0.3
I03_05_01.png,I03.png,4.78,0.413
I03_05_02.png,I03.png,2.65,0.785
I03_05_03.png,I03.png,2,0.683
I03_05_04.png,I03.png,1.87,0.718
I03_05_05.png,I03.png,2.23,0.989
I03_06_01.png,I03.png,4,0.856
I03_06_02.png,I03.png,3.8,1.013
I03_06_03.png,I03.png,3.33,1.011
I03_06_04.png,I03.png,2.83,0.934
I03_06_05.png,I03.png,1.77,0.667
I03_07_01.png,I03.png,2.37,1.08
I03_07_02.png,I03.png,1.67,0.83
I03_07_03.png,I03.png,1.43,0.559
I03_07_04.png,I03.png,1.53,0.67
I03_07_05.png,I03.png,1.47,0.618
I03_08_01.png,I03.png,4.53,0.562
I03_08_02.png,I03.png,3.13,1.024
I03_08_03.png,I03.png,2.47,0.957
I03_08_04.png,I03.png,1.37,0.547
I03_08_05.png,I03.png,1.23,0.496
I03_09_01.png,I03.png,4.4,0.757
I03_09_02.png,I03.png,3.6,0.987
I03_09_03.png,I03.png,3.1,0.978
I03_09_04.png,I03.png,1.77,0.616
I03_09_05.png,I03.png,1.1,0.3
I03_10_01.png,I03.png,4.47,0.67
I03_10_02.png,I03.png,4.17,0.898
I03_10_03.png,I03.png,3.7,1.005
I03_10_04.png,I03.png,2.23,0.667
I03_10_05.png,I03.png,1.53,0.718
I03_11_01.png,I03.png,3.97,0.836
I03_11_02.png,I03.png,3.6,0.757
I03_11_03.png,I03.png,3.27,0.854
I03_11_04.png,I03.png,2.93,0.929
I03_11_05.png,I03.png,2.5,0.847
I03_12_01.png,I03.png,4.57,0.496
I03_12_02.png,I03.png,3.87,0.763
I03_12_03.png,I03.png,3.17,0.734
I03_12_04.png,I03.png,2.9,0.907
I03_12_05.png,I03.png,2.6,0.917
I03_13_01.png,I03.png,4.4,0.611
I03_13_02.png,I03.png,3.57,0.989
I03_13_03.png,I03.png,2.83,0.778
I03_13_04.png,I03.png,2.3,0.823
I03_13_05.png,I03.png,2.4,0.663
I03_14_01.png,I03.png,4.4,0.554
I03_14_02.png,I03.png,3.5,0.992
I03_14_03.png,I03.png,3.03,0.948
I03_14_04.png,I03.png,2.53,0.67
I03_14_05.png,I03.png,2.17,0.582
I03_15_01.png,I03.png,4.13,0.763
I03_15_02.png,I03.png,3.3,1.038
I03_15_03.png,I03.png,2.53,0.806
I03_15_04.png,I03.png,1.9,0.597
I03_15_05.png,I03.png,1.43,0.559
I03_16_01.png,I03.png,4.37,0.482
I03_16_02.png,I03.png,4.27,0.512
I03_16_03.png,I03.png,2.87,0.991
I03_16_04.png,I03.png,2.3,0.9
I03_16_05.png,I03.png,1.4,0.554
I03_17_01.png,I03.png,4.5,0.5
I03_17_02.png,I03.png,4.63,0.547
I03_17_03.png,I03.png,4.4,0.49
I03_17_04.png,I03.png,3.67,0.745
I03_17_05.png,I03.png,2.77,1.086
I03_18_01.png,I03.png,4.23,0.716
I03_18_02.png,I03.png,4.73,0.442
I03_18_03.png,I03.png,4.5,0.619
I03_18_04.png,I03.png,4.47,0.499
I03_18_05.png,I03.png,4.2,0.653
I03_19_01.png,I03.png,4.17,0.734
I03_19_02.png,I03.png,3.33,0.699
I03_19_03.png,I03.png,3.17,0.934
I03_19_04.png,I03.png,1.77,0.667
I03_19_05.png,I03.png,1.37,0.482
I03_20_01.png,I03.png,4.37,0.912
I03_20_02.png,I03.png,4.67,0.471
I03_20_03.png,I03.png,4.23,0.716
I03_20_04.png,I03.png,4.17,1.098
I03_20_05.png,I03.png,3.63,1.016
I03_21_01.png,I03.png,3.97,1.048
I03_21_02.png,I03.png,2.8,0.945
I03_21_03.png,I03.png,2.73,0.789
I03_21_04.png,I03.png,2.87,0.806
I03_21_05.png,I03.png,1.39,0.487
I03_22_01.png,I03.png,4.4,0.757
I03_22_02.png,I03.png,4.6,0.611
I03_22_03.png,I03.png,4.23,0.844
I03_22_04.png,I03.png,4.07,0.854
I03_22_05.png,I03.png,4,0.683
I03_23_01.png,I03.png,3.2,1.222
I03_23_02.png,I03.png,2.3,0.862
I03_23_03.png,I03.png,2.47,1.056
I03_23_04.png,I03.png,2.1,0.79
I03_23_05.png,I03.png,2.2,0.945
I03_24_01.png,I03.png,3.67,0.789
I03_24_02.png,I03.png,2.47,0.921
I03_24_03.png,I03.png,1.9,0.79
I03_24_04.png,I03.png,1.4,0.611
I03_24_05.png,I03.png,1.13,0.34
I03_25_01.png,I03.png,3.67,0.699
I03_25_02.png,I03.png,3.84,0.723
I03_25_03.png,I03.png,4.63,0.605
I03_25_04.png,I03.png,4.4,0.49
I03_25_05.png,I03.png,3.67,0.789
I04_01_01.png,I04.png,4.77,0.423
I04_01_02.png,I04.png,4.3,0.69
I04_01_03.png,I04.png,2.5,0.992
I04_01_04.png,I04.png,1.57,0.616
I04_01_05.png,I04.png,1.2,0.4
I04_02_01.png,I04.png,3.57,0.667
I04_02_02.png,I04.png,2.43,0.667
I04_02_03.png,I04.png,1.5,0.671
I04_02_04.png,I04.png,1.43,0.559
I04_02_05.png,I04.png,1.2,0.4
I04_03_01.png,I04.png,4.7,0.526
I04_03_02.png,I04.png,4.17,0.687
I04_03_03.png,I04.png,2.63,0.795
I04_03_04.png,I04.png,1.93,0.727
I04_03_05.png,I04.png,1.6,0.49
I04_04_01.png,I04.png,4.33,0.745
I04_04_02.png,I04.png,3.07,0.929
I04_04_03.png,I04.png,2.37,1.016
I04_04_04.png,I04.png,1.97,0.999
I04_04_05.png,I04.png,1.67,0.907
I04_05_01.png,I04.png,3.7,0.862
I04_05_02.png,I04.png,1.83,0.82
I04_05_03.png,I04.png,1.93,0.814
I04_05_04.png,I04.png,1.43,0.496
I04_05_05.png,I04.png,1.47,0.562
I04_06_01.png,I04.png,4.37,0.875
I04_06_02.png,I04.png,4.43,0.667
I04_06_03.png,I04.png,3.83,1.035
I04_06_04.png,I04.png,3.47,0.846
I04_06_05.png,I04.png,2.73,0.854
I04_07_01.png,I04.png,2.7,0.971
I04_07_02.png,I04.png,2.63,1.11
I04_07_03.png,I04.png,2.7,0.862
I04_07_04.png,I04.png,2.57,0.955
I04_07_05.png,I04.png,2.16,0.766
I04_08_01.png,I04.png,4.7,0.458
I04_08_02.png,I04.png,3.43,1.146
I04_08_03.png,I04.png,3.13,0.846
I04_08_04.png,I04.png,2.33,0.978
I04_08_05.png,I04.png,1.83,0.778
I04_09_01.png,I04.png,4.6,0.554
I04_09_02.png,I04.png,4.4,0.663
I04_09_03.png,I04.png,4.07,0.892
I04_09_04.png,I04.png,1.73,0.727
I04_09_05.png,I04.png,1.23,0.496
I04_10_01.png,I04.png,4.27,0.727
I04_10_02.png,I04.png,4.1,0.597
I04_10_03.png,I04.png,3.87,0.562
I04_10_04.png,I04.png,1.87,0.67
I04_10_05.png,I04.png,1.23,0.423
I04_11_01.png,I04.png,3.63,0.912
I04_11_02.png,I04.png,3.57,0.803
I04_11_03.png,I04.png,3.03,0.836
I04_11_04.png,I04.png,2.4,0.663
I04_11_05.png,I04.png,2.3,0.64
I04_12_01.png,I04.png,4.33,0.699
I04_12_02.png,I04.png,3.27,0.814
I04_12_03.png,I04.png,3.2,0.792
I04_12_04.png,I04.png,2.5,0.806
I04_12_05.png,I04.png,2.2,0.542
I04_13_01.png,I04.png,3.43,0.761
I04_13_02.png,I04.png,2.83,0.82
I04_13_03.png,I04.png,2.73,0.814
I04_13_04.png,I04.png,2.2,0.702
I04_13_05.png,I04.png,1.87,0.718
I04_14_01.png,I04.png,4.53,0.67
I04_14_02.png,I04.png,3.23,0.883
I04_14_03.png,I04.png,2.83,0.86
I04_14_04.png,I04.png,2.4,0.917
I04_14_05.png,I04.png,2.1,0.7
I04_15_01.png,I04.png,3.8,0.702
I04_15_02.png,I04.png,2.7,0.862
I04_15_03.png,I04.png,2.23,0.761
I04_15_04.png,I04.png,1.67,0.471
I04_15_05.png,I04.png,1.27,0.512
I04_16_01.png,I04.png,4.57,0.496
I04_16_02.png,I04.png,4.47,0.67
I04_16_03.png,I04.png,3.83,0.734
I04_16_04.png,I04.png,2.73,0.854
I04_16_05.png,I04.png,2.03,0.836
I04_17_01.png,I04.png,4.53,0.718
I04_17_02.png,I04.png,4.6,0.49
I04_17_03.png,I04.png,3.97,0.605
I04_17_04.png,I04.png,3.4,0.879
I04_17_05.png,I04.png,1.97,0.836
I04_18_01.png,I04.png,4.27,0.68
I04_18_02.png,I04.png,4.63,0.605
I04_18_03.png,I04.png,4.87,0.34
I04_18_04.png,I04.png,4.57,0.496
I04_18_05.png,I04.png,3.63,0.657
I04_19_01.png,I04.png,4.33,0.537
I04_19_02.png,I04.png,3.9,0.907
I04_19_03.png,I04.png,3.03,0.822
I04_19_04.png,I04.png,1.6,0.611
I04_19_05.png,I04.png,1.33,0.471
I04_20_01.png,I04.png,4.6,0.554
I04_20_02.png,I04.png,4.1,1.136
I04_20_03.png,I04.png,4.1,0.943
I04_20_04.png,I04.png,3.6,1.143
I04_20_05.png,I04.png,4.1,0.907
I04_21_01.png,I04.png,4.4,0.663
I04_21_02.png,I04.png,3.17,0.969
I04_21_03.png,I04.png,3.03,0.948
I04_21_04.png,I04.png,2.93,0.854
I04_21_05.png,I04.png,1.27,0.442
I04_22_01.png,I04.png,4.17,0.898
I04_22_02.png,I04.png,3.68,1.059
I04_22_03.png,I04.png,3.6,1.2
I04_22_04.png,I04.png,3.37,1.11
I04_22_05.png,I04.png,2.9,1.027
I04_23_01.png,I04.png,2.27,0.964
I04_23_02.png,I04.png,2.37,0.836
I04_23_03.png,I04.png,1.87,0.718
I04_23_04.png,I04.png,2.23,0.667
I04_23_05.png,I04.png,2.2,0.748
I04_24_01.png,I04.png,3.77,0.844
I04_24_02.png,I04.png,2.6,0.8
I04_24_03.png,I04.png,2,0.683
I04_24_04.png,I04.png,1.67,0.65
I04_24_05.png,I04.png,1.5,0.719
I04_25_01.png,I04.png,3.61,0.704
I04_25_02.png,I04.png,3.73,0.772
I04_25_03.png,I04.png,3.9,0.79
I04_25_04.png,I04.png,4.23,0.559
I04_25_05.png,I04.png,3.43,0.844
I05_01_01.png,I05.png,4.6,0.663
I05_01_02.png,I05.png,4.47,0.562
I05_01_03.png,I05.png,2.83,0.82
I05_01_04.png,I05.png,1.7,0.586
I05_01_05.png,I05.png,1.17,0.373
I05_02_01.png,I05.png,3.67,0.869
I05_02_02.png,I05.png,2.63,0.752
I05_02_03.png,I05.png,1.57,0.616
I05_02_04.png,I05.png,1.33,0.471
I05_02_05.png,I05.png,1.37,0.547
I05_03_01.png,I05.png,4.47,0.562
I05_03_02.png,I05.png,3.9,0.87
I05_03_03.png,I05.png,2.68,0.69
I05_03_04.png,I05.png,1.87,0.562
I05_03_05.png,I05.png,1.53,0.562
I05_04_01.png,I05.png,4.57,0.496
I05_04_02.png,I05.png,3,1
I05_04_03.png,I05.png,1.77,0.716
I05_04_04.png,I05.png,1.57,0.616
I05_04_05.png,I05.png,1.53,0.67
I05_05_01.png,I05.png,4.23,0.616
I05_05_02.png,I05.png,2.27,0.929
I05_05_03.png,I05.png,1.83,0.734
I05_05_04.png,I05.png,1.67,0.537
I05_05_05.png,I05.png,1.63,0.605
I05_06_01.png,I05.png,4.33,0.699
I05_06_02.png,I05.png,4.37,0.605
I05_06_03.png,I05.png,4.27,0.727
I05_06_04.png,I05.png,3.63,0.983
I05_06_05.png,I05.png,2.9,1.136
I05_07_01.png,I05.png,2.57,0.844
I05_07_02.png,I05.png,2.33,1.011
I05_07_03.png,I05.png,2.1,0.79
I05_07_04.png,I05.png,2.23,0.989
I05_07_05.png,I05.png,2.23,0.989
I05_08_01.png,I05.png,4.73,0.442
I05_08_02.png,I05.png,3.37,0.795
I05_08_03.png,I05.png,2.77,0.955
I05_08_04.png,I05.png,1.63,0.752
I05_08_05.png,I05.png,1.7,0.971
I05_09_01.png,I05.png,4.3,0.586
I05_09_02.png,I05.png,2.6,1.114
I05_09_03.png,I05.png,2.37,1.11
I05_09_04.png,I05.png,1.57,0.667
I05_09_05.png,I05.png,1.23,0.423
I05_10_01.png,I05.png,4.43,0.716
I05_10_02.png,I05.png,4.4,0.554
I05_10_03.png,I05.png,4.3,0.737
I05_10_04.png,I05.png,2.47,1.284
I05_10_05.png,I05.png,1.27,0.512
I05_11_01.png,I05.png,4.4,0.841
I05_11_02.png,I05.png,4.23,0.791
I05_11_03.png,I05.png,3.83,1.098
I05_11_04.png,I05.png,3.33,0.789
I05_11_05.png,I05.png,2.53,0.806
I05_12_01.png,I05.png,4.53,0.499
I05_12_02.png,I05.png,4.43,0.761
I05_12_03.png,I05.png,4.06,0.669
I05_12_04.png,I05.png,3.03,0.836
I05_12_05.png,I05.png,2.8,0.833
I05_13_01.png,I05.png,3.47,1.118
I05_13_02.png,I05.png,2.63,0.983
I05_13_03.png,I05.png,2.3,0.9
I05_13_04.png,I05.png,2.07,0.68
I05_13_05.png,I05.png,2.07,0.929
I05_14_01.png,I05.png,4.37,0.482
I05_14_02.png,I05.png,4.37,0.605
I05_14_03.png,I05.png,4.47,0.562
I05_14_04.png,I05.png,4.2,0.653
I05_14_05.png,I05.png,3.61,0.904
I05_15_01.png,I05.png,3.5,0.885
I05_15_02.png,I05.png,2.7,0.971
I05_15_03.png,I05.png,2.17,0.82
I05_15_04.png,I05.png,1.87,0.884
I05_15_05.png,I05.png,1.47,0.562
I05_16_01.png,I05.png,4.43,0.667
I05_16_02.png,I05.png,4.37,0.482
I05_16_03.png,I05.png,3.67,0.699
I05_16_04.png,I05.png,3.1,0.943
I05_16_05.png,I05.png,2.27,0.854
I05_17_01.png,I05.png,4.5,0.619
I05_17_02.png,I05.png,4.47,0.618
I05_17_03.png,I05.png,3.53,0.884
I05_17_04.png,I05.png,2.7,1.005
I05_17_05.png,I05.png,1.3,0.458
I05_18_01.png,I05.png,4.4,0.879
I05_18_02.png,I05.png,4.47,0.718
I05_18_03.png,I05.png,4.37,0.482
I05_18_04.png,I05.png,4,0.683
I05_18_05.png,I05.png,2.77,1.023
I05_19_01.png,I05.png,4.03,0.657
I05_19_02.png,I05.png,3.53,0.718
I05_19_03.png,I05.png,3.13,0.718
I05_19_04.png,I05.png,2,0.816
I05_19_05.png,I05.png,1.23,0.423
I05_20_01.png,I05.png,4.47,0.846
I05_20_02.png,I05.png,4.53,0.562
I05_20_03.png,I05.png,4.4,0.611
I05_20_04.png,I05.png,4.43,0.716
I05_20_05.png,I05.png,3.97,0.948
I05_21_01.png,I05.png,4.17,0.82
I05_21_02.png,I05.png,3.7,1.069
I05_21_03.png,I05.png,3.4,1.172
I05_21_04.png,I05.png,3.27,1.031
I05_21_05.png,I05.png,1.4,0.611
I05_22_01.png,I05.png,4.3,0.737
I05_22_02.png,I05.png,4.53,0.618
I05_22_03.png,I05.png,4.07,0.892
I05_22_04.png,I05.png,4.03,1.08
I05_22_05.png,I05.png,4.17,0.82
I05_23_01.png,I05.png,2.33,1.043
I05_23_02.png,I05.png,2.1,0.7
I05_23_03.png,I05.png,1.87,0.763
I05_23_04.png,I05.png,1.8,0.702
I05_23_05.png,I05.png,1.8,0.542
I05_24_01.png,I05.png,3.07,1.031
I05_24_02.png,I05.png,1.9,0.87
I05_24_03.png,I05.png,1.77,0.667
I05_24_04.png,I05.png,1.23,0.423
I05_24_05.png,I05.png,1.2,0.4
I05_25_01.png,I05.png,2.9,0.831
I05_25_02.png,I05.png,3.5,0.806
I05_25_03.png,I05.png,4,0.73
I05_25_04.png,I05.png,4.23,0.761
I05_25_05.png,I05.png,3.6,0.663
I06_01_01.png,I06.png,4.7,0.458
I06_01_02.png,I06.png,4.33,0.699
I06_01_03.png,I06.png,3.43,0.92
I06_01_04.png,I06.png,2.13,0.67
I06_01_05.png,I06.png,1.53,0.618
I06_02_01.png,I06.png,4.13,0.884
I06_02_02.png,I06.png,3.6,0.8
I06_02_03.png,I06.png,2.13,0.562
I06_02_04.png,I06.png,1.57,0.616
I06_02_05.png,I06.png,1.63,0.795
I06_03_01.png,I06.png,4.47,0.806
