ref_img,dist_img,dst_type,dst_lev,mos,DSSIM,SSIMULACRA,Butteraugli
fruit,fruit_jpeg_r5,jpeg,5,1.11538,0.14680776,0.17673173,19.346071
fruit,fruit_lar_r1,lar,1,1.96154,0.12946932,0.15725878,31.859631
fruit,fruit_lar_r2,lar,2,3.3846199999999995,0.05639244,0.10478891,14.031981
fruit,fruit_lar_r3,lar,3,3.76923,0.0476769,0.09833341,14.173111
fruit,fruit_lar_r4,lar,4,4.30769,0.02521319,0.06484084,8.905956
fruit,fruit_lar_r5,lar,5,4.4230800000000015,0.02367433,0.05883935,8.193538
house,house_j2000_r1,j2000,1,4.65385,0.01312261,0.05945187,5.163196
house,house_j2000_r2,j2000,2,4.26923,0.02126922,0.07049078,5.869718
house,house_j2000_r3,j2000,3,3.42308,0.04798782,0.11516301,8.233903
house,house_j2000_r4,j2000,4,2.11538,0.09290274,0.17096398,14.997928
house,house_j2000_r5,j2000,5,1.15385,0.16900543,0.23815759,32.472244
house,house_jpeg_r1,jpeg,1,4.69231,0.02269171,0.08210215,6.998248
house,house_jpeg_r2,jpeg,2,4.03846,0.03626177,0.10177285,7.654648
house,house_jpeg_r3,jpeg,3,3.26923,0.06067083,0.13119644,9.539549
house,house_jpeg_r4,jpeg,4,1.61538,0.10857713,0.18381625,12.184202
house,house_jpeg_r5,jpeg,5,1.23077,0.16049127,0.22651712,15.514653
house,house_lar_r1,lar,1,1.23077,0.12924727,0.20208391,36.221218
house,house_lar_r2,lar,2,2.76923,0.06002647,0.14198937,19.323572
house,house_lar_r3,lar,3,3.0,0.04649552,0.12442863,18.927921
house,house_lar_r4,lar,4,3.69231,0.02602241,0.0935834,6.770853
house,house_lar_r5,lar,5,4.0,0.0239824,0.08007378,6.440187
isabe,isabe_j2000_r1,j2000,1,4.76923,0.01377595,0.08105982,5.061425
isabe,isabe_j2000_r2,j2000,2,4.26923,0.02307018,0.10250255,6.50385
isabe,isabe_j2000_r3,j2000,3,3.15385,0.04514465,0.13537351,9.64352
isabe,isabe_j2000_r4,j2000,4,2.57692,0.06404638,0.15132449,11.351486
isabe,isabe_j2000_r5,j2000,5,1.26923,0.10229686,0.17746996,16.726868
isabe,isabe_jpeg_lumichr_r1,jpeg_lumichr,1,4.5769199999999985,0.01616779,0.07550013,4.282615
isabe,isabe_jpeg_lumichr_r2,jpeg_lumichr,2,4.23077,0.02467006,0.09255191,5.890783
isabe,isabe_jpeg_lumichr_r3,jpeg_lumichr,3,3.15385,0.04037951,0.11758314,7.161811
isabe,isabe_jpeg_lumichr_r4,jpeg_lumichr,4,2.23077,0.07039679,0.14539402,10.401726
isabe,isabe_jpeg_lumichr_r5,jpeg_lumichr,5,1.46154,0.10611288,0.16804021,13.258064
isabe,isabe_jpeg_r1,jpeg,1,4.30769,0.0240282,0.09490969,11.736796
isabe,isabe_jpeg_r2,jpeg,2,3.96154,0.03412341,0.11055804,12.727358
isabe,isabe_jpeg_r3,jpeg,3,2.65385,0.05764785,0.14295922,16.268915
isabe,isabe_jpeg_r4,jpeg,4,1.96154,0.08260433,0.16600831,15.624853
isabe,isabe_jpeg_r5,jpeg,5,1.26923,0.13307571,0.2053231,20.113672
lenat,lenat_flou_f1,flou,1,4.53846,0.01186705,0.04905049,13.228088
lenat,lenat_flou_f2,flou,2,2.92308,0.05761919,0.12163814,23.130709
lenat,lenat_flou_f3,flou,3,1.80769,0.11258958,0.17550257,32.279572
lenat,lenat_flou_f4,flou,4,1.6923099999999998,0.13419139,0.19079079,36.714252
lenat,lenat_flou_f5,flou,5,1.19231,0.20516114,0.22220121,61.815231
lenat,lenat_j2000_r1,j2000,1,4.88462,0.00758211,0.04634965,3.938383
lenat,lenat_j2000_r2,j2000,2,4.23077,0.02151452,0.08185204,7.081101
lenat,lenat_j2000_r3,j2000,3,3.11538,0.04300074,0.11218684,11.135366
lenat,lenat_j2000_r4,j2000,4,2.23077,0.0592916,0.12619259,13.245115
lenat,lenat_j2000_r5,j2000,5,1.34615,0.09351671,0.15255832,21.539656
lenat,lenat_jpeg_r1,jpeg,1,4.26923,0.01942987,0.07887953,4.727707
lenat,lenat_jpeg_r2,jpeg,2,3.65385,0.02696639,0.08982708,5.808798
lenat,lenat_jpeg_r3,jpeg,3,2.34615,0.05828269,0.12356324,8.953025
lenat,lenat_jpeg_r4,jpeg,4,1.5,0.09412683,0.15650957,11.975398
lenat,lenat_jpeg_r5,jpeg,5,1.11538,0.12786501,0.17587666,13.843084
lenat,lenat_lar_r1,lar,1,1.6923099999999998,0.09744576,0.15598522,24.097322
lenat,lenat_lar_r2,lar,2,2.80769,0.04731606,0.11916847,13.220552
lenat,lenat_lar_r3,lar,3,3.92308,0.03493898,0.1053791,12.723958
lenat,lenat_lar_r4,lar,4,4.11538,0.02263521,0.08690174,6.961026
lenat,lenat_lar_r5,lar,5,4.38462,0.02103735,0.08144461,7.489371
mandr,mandr_j2000_r1,j2000,1,4.34615,0.04817751,0.14244914,11.484639
mandr,mandr_j2000_r2,j2000,2,4.26923,0.06608278,0.16417794,10.94144
mandr,mandr_j2000_r3,j2000,3,3.30769,0.13150903,0.23027444,17.931231
mandr,mandr_j2000_r4,j2000,4,1.76923,0.29805361,0.33334821,33.986294
mandr,mandr_j2000_r5,j2000,5,1.15385,0.49983841,0.42659909,45.082882
mandr,mandr_jpeg_lumichr_r1,jpeg_lumichr,1,4.5769199999999985,0.02894718,0.08263972,4.388544
mandr,mandr_jpeg_lumichr_r2,jpeg_lumichr,2,4.5,0.03824578,0.09548807,4.902225
mandr,mandr_jpeg_lumichr_r3,jpeg_lumichr,3,3.34615,0.09546466,0.1532955,9.244982
mandr,mandr_jpeg_lumichr_r4,jpeg_lumichr,4,2.92308,0.12691953,0.17452415,11.177079
mandr,mandr_jpeg_lumichr_r5,jpeg_lumichr,5,1.61538,0.23812563,0.23711784,15.925762
mandr,mandr_jpeg_r1,jpeg,1,4.61538,0.03315054,0.1241235,6.393499
mandr,mandr_jpeg_r2,jpeg,2,3.80769,0.0711637,0.16908502,9.782788
mandr,mandr_jpeg_r3,jpeg,3,3.0,0.13574025,0.22638524,13.430188
mandr,mandr_jpeg_r4,jpeg,4,2.26923,0.18594989,0.26016768,17.133974
mandr,mandr_jpeg_r5,jpeg,5,1.5,0.29284084,0.31337506,22.102222
mandr,mandr_lar_r1,lar,1,2.03846,0.19905235,0.29583978,25.631014
mandr,mandr_lar_r2,lar,2,3.4615400000000003,0.08400056,0.2085156,17.873323
mandr,mandr_lar_r3,lar,3,4.03846,0.06121015,0.18087773,13.654719
mandr,mandr_lar_r4,lar,4,4.46154,0.03816559,0.14706341,7.309566
mandr,mandr_lar_r5,lar,5,4.38462,0.03162642,0.1285634,7.597264
pimen,pimen_j2000_r1,j2000,1,4.69231,0.01354684,0.0811534,4.973398
pimen,pimen_j2000_r2,j2000,2,4.34615,0.02803749,0.11584953,10.552105
pimen,pimen_j2000_r3,j2000,3,3.34615,0.04298646,0.13042457,13.803188
pimen,pimen_j2000_r4,j2000,4,2.53846,0.08031706,0.15943463,24.114323
pimen,pimen_j2000_r5,j2000,5,1.0,0.24088312,0.2400136,93.937538
pimen,pimen_jpeg_r1,jpeg,1,3.57692,0.04283051,0.13191532,11.038647
pimen,pimen_jpeg_r2,jpeg,2,3.53846,0.05277906,0.14006401,11.957952
pimen,pimen_jpeg_r3,jpeg,3,2.84615,0.06637893,0.1514097,13.131844
pimen,pimen_jpeg_r4,jpeg,4,1.73077,0.11338611,0.18630032,17.803717
pimen,pimen_jpeg_r5,jpeg,5,1.26923,0.15830497,0.20820906,20.701384
pimen,pimen_lar_r1,lar,1,2.5,0.08908269,0.16777435,25.536373
pimen,pimen_lar_r2,lar,2,3.615380000000001,0.04612523,0.13904259,18.392469
pimen,pimen_lar_r3,lar,3,4.15385,0.03536327,0.12659948,15.058615
pimen,pimen_lar_r4,lar,4,4.5,0.02430159,0.10895063,7.744949
pimen,pimen_lar_r5,lar,5,4.65385,0.02309025,0.10419762,7.817313
