ref_img,dist_img,dst_type,dst_lev,mos,DSSIM,SSIMULACRA,Butteraugli,Butteraugli_XL,Butteraugli_XL_3m,Butteraugli_XL_2s,Butteraugli_XL_3s,Butteraugli_XL_6s,Butteraugli_XL_12s
barba,barba_lar_r5,lar,5,3.8846199999999995,0.02614725,0.07540866,9.959966,7.3183398247,2.365782,1.783452,1.851593,2.11121,3.134543
boats,boats_flou_f1,flou,1,4.076919999999999,0.01710035,0.06211921,13.127669000000001,8.7657699585,2.556127,1.290616,1.431846,2.235008,4.001528
boats,boats_flou_f2,flou,2,2.92308,0.03665946,0.10713705,17.016466,11.1724033356,3.486893,1.974217,2.189106,3.072648,5.198924
boats,boats_flou_f3,flou,3,2.5,0.0602957,0.14679248,19.604143,13.069486618,4.348886,2.671658,2.967398,3.893163,6.186097
boats,boats_flou_f4,flou,4,1.30769,0.14665221,0.23579067,31.022778999999996,24.5692710876,8.935145,5.409505,6.22187,8.413324,12.170242
boats,boats_flou_f5,flou,5,1.03846,0.20127597,0.26839541,49.402901,36.6769599915,13.450807,7.319458,8.649795,12.59241,19.110217
boats,boats_j2000_r1,j2000,1,4.576919999999999,0.01649744,0.06009659,5.322291000000001,5.0132989883,1.943301,1.461947,1.546735,1.842491,2.440677
boats,boats_j2000_r2,j2000,2,4.15385,0.03036489,0.09607596,9.952697,10.034236908,2.998113,1.963498,2.098695,2.638788,4.256856
boats,boats_j2000_r3,j2000,3,3.19231,0.05408825,0.13448026,11.519117,13.1576519012,3.862434,2.641885,2.826591,3.444729,5.315983
boats,boats_j2000_r4,j2000,4,2.34615,0.07998843,0.18032868,14.880284,15.7857284546,4.908159,3.355612,3.634777,4.515649,6.574052
boats,boats_j2000_r5,j2000,5,1.19231,0.14260956,0.22745912,32.12405,26.6284389496,7.705965,4.907796,5.369278,6.834887,10.91373
boats,boats_jpeg_r1,jpeg,1,4.30769,0.02214767,0.08129967,6.393222,5.1850509644,1.956555,1.656745,1.69978,1.845244,2.324641
boats,boats_jpeg_r2,jpeg,2,4.076919999999999,0.03057398,0.09575747,6.295121,6.2525272369,2.34415,1.976576,2.031688,2.219952,2.780811
boats,boats_jpeg_r3,jpeg,3,2.57692,0.05183224,0.12458093,7.8950190000000005,8.3419094086,3.299299,2.668932,2.7644,3.127689,4.005807
boats,boats_jpeg_r4,jpeg,4,1.88462,0.07236257,0.14827641,10.91924,11.2181682587,4.027847,3.2783,3.403081,3.827751,4.852709
boats,boats_jpeg_r5,jpeg,5,1.15385,0.1062257,0.18491914,12.847572,12.0080032349,5.078793,4.208858,4.359432,4.858759,6.018188
boats,boats_lar_r1,lar,1,1.42308,0.12075032,0.22859157,22.613621,18.7665405273,7.214877,4.91499,5.457355,6.91115,9.276127
boats,boats_lar_r2,lar,2,2.76923,0.06188073,0.16427719,17.265667,12.486207962,4.437833,3.237197,3.466357,4.17761,5.669531
boats,boats_lar_r3,lar,3,3.07692,0.05425815,0.1569087,17.268682000000002,12.3066720963,4.256369,2.934186,3.183264,3.994118,5.591724
boats,boats_lar_r4,lar,4,4.15385,0.02779795,0.10944388,6.369104,5.5010662079,2.400894,1.967748,2.057635,2.323813,2.821233
boats,boats_lar_r5,lar,5,4.69231,0.02246646,0.079424,6.487271,4.9152035713,1.968604,1.638574,1.697552,1.887236,2.321024
clown,clown_j2000_r1,j2000,1,4.88462,0.01052074,0.04391239,5.192887000000001,4.3168392181,1.60157,1.274962,1.336104,1.535175,1.933431
clown,clown_j2000_r2,j2000,2,4.15385,0.03201702,0.08007931,10.027822,7.8271927834,2.928766,2.128902,2.261783,2.737118,3.787399
clown,clown_j2000_r3,j2000,3,3.65385,0.04553474,0.09571215,12.8154,10.3760433197,3.671353,2.59136,2.778553,3.434188,4.801316
clown,clown_j2000_r4,j2000,4,2.69231,0.0790824,0.16014145,18.536633,15.3468790054,5.459175,3.746145,4.091996,5.176278,7.10925
clown,clown_j2000_r5,j2000,5,1.2307700000000001,0.15697434,0.23757226,32.292969,30.1460571289,9.686738,6.105492,6.754944,8.98244,13.32283
clown,clown_jpeg_lumichr_r1,jpeg_lumichr,1,4.46154,0.01649736,0.06394545,5.35294,4.3468689919,1.877131,1.516507,1.582423,1.788245,2.260723
clown,clown_jpeg_lumichr_r2,jpeg_lumichr,2,3.57692,0.02844032,0.09055594,6.219196,6.105410099,2.509074,1.969782,2.06448,2.380915,3.081826
clown,clown_jpeg_lumichr_r3,jpeg_lumichr,3,2.5,0.05912158,0.14919118,9.367761999999999,8.1713809967,3.760185,2.915659,3.086659,3.62917,4.564728
clown,clown_jpeg_lumichr_r4,jpeg_lumichr,4,1.7692299999999999,0.08343494,0.17414985,11.412261,9.641834259,4.501951,3.590511,3.794152,4.384385,5.327317
clown,clown_jpeg_lumichr_r5,jpeg_lumichr,5,1.07692,0.15331771,0.21655478,16.438581,13.0364255905,6.204284,4.843719,5.12353,5.980232,7.50909
clown,clown_jpeg_r1,jpeg,1,4.34615,0.03126672,0.09260552,12.083711,8.7892990112,3.321206,2.269666,2.473033,3.160388,4.330199
clown,clown_jpeg_r2,jpeg,2,3.65385,0.05504073,0.12683426,17.537247,12.4012107849,4.506142,3.077744,3.332803,4.243913,5.941709
clown,clown_jpeg_r3,jpeg,3,2.92308,0.07856957,0.15758639,19.292192,14.1781415939,5.321961,3.703651,3.987941,5.023057,6.954886
clown,clown_jpeg_r4,jpeg,4,1.53846,0.13436752,0.22547217,25.519068,19.2291374207,7.333807,5.338245,5.696293,6.932371,9.372756
clown,clown_jpeg_r5,jpeg,5,1.38462,0.15390426,0.23138089999999997,26.400787,21.4373054504,7.924722,5.761763,6.167407,7.512816,10.093942
clown,clown_lar_r1,lar,1,1.2692299999999999,0.15283596,0.25695416,42.339134,33.8791007996,10.644789,6.217296,6.89637,9.432197,15.605802
clown,clown_lar_r2,lar,2,2.0384599999999997,0.07018350000000001,0.18945814,16.167786,15.5402050018,5.396815,3.699267,3.981779,4.935207,7.273457
clown,clown_lar_r3,lar,3,3.0,0.0562524,0.17805562,16.36746,15.3978004456,5.224296,3.343048,3.677853,4.795462,7.199574
clown,clown_lar_r4,lar,4,4.11538,0.03021557,0.09120628,11.084887,8.0014095306,2.999813,2.270726,2.399515,2.834696,3.765229
clown,clown_lar_r5,lar,5,4.34615,0.02819136,0.08656269,11.093866,7.9716305733,2.928582,2.159758,2.297391,2.765885,3.722471
fruit,fruit_flou_f1,flou,1,3.9615400000000003,0.02521637,0.03559795,20.565115,11.6091127396,3.753045,1.651667,2.037909,3.529012,5.692215
fruit,fruit_flou_f2,flou,2,2.19231,0.10816049,0.11820817,31.571745,17.9560585022,6.613478,4.233768,4.769631,6.241206,8.829598
fruit,fruit_flou_f3,flou,3,1.7307700000000001,0.18124967,0.17845053,38.110481,25.8241672516,9.965146,6.307395,7.18104,9.506362,13.208037
fruit,fruit_flou_f4,flou,4,1.42308,0.28733679,0.2412371,68.19896700000001,43.9532432556,15.669374,9.128076,10.620071,14.834271,21.553781
fruit,fruit_flou_f5,flou,5,1.19231,0.42892403,0.30017584,116.048828,64.0738143921,22.827687,12.603334,14.905214,21.551962,32.025884
fruit,fruit_j2000_r1,j2000,1,4.65385,0.00599383,0.02314646,3.5060309999999997,3.5724329948,1.409165,1.079836,1.140341,1.341426,1.745729
fruit,fruit_j2000_r2,j2000,2,3.9615400000000003,0.02179667,0.05251743,6.982899000000001,6.4793353081,2.495064,1.883248,1.99014,2.351341,3.143712
fruit,fruit_j2000_r3,j2000,3,3.11538,0.04660781,0.08577515,11.52191,10.466963768,3.589902,2.731571,2.883695,3.385946,4.500065
fruit,fruit_j2000_r4,j2000,4,1.88462,0.11368736,0.14079641,28.548440999999997,22.4650421143,6.99681,4.519498,4.878188,6.237768,9.874475
fruit,fruit_j2000_r5,j2000,5,1.19231,0.17988665,0.19780145,50.374759999999995,28.2483329773,9.740858,6.150973,6.820735,9.115232,13.286607
fruit,fruit_jpeg_lumichr_r1,jpeg_lumichr,1,4.576919999999999,0.01131432,0.06676422,6.203131,4.5426988602,1.954866,1.396792,1.492972,1.837867,2.53376
fruit,fruit_jpeg_lumichr_r2,jpeg_lumichr,2,4.23077,0.01757513,0.05611488,8.257031,5.9865174294,2.21609,1.648835,1.741995,2.073906,2.832367
fruit,fruit_jpeg_lumichr_r3,jpeg_lumichr,3,3.34615,0.04382624,0.0935719,11.985137,7.1812634468,3.166868,2.550701,2.67012,3.046727,3.783757
fruit,fruit_jpeg_lumichr_r4,jpeg_lumichr,4,2.19231,0.08108,0.11595463,14.336095000000002,10.5336074829,4.135331,3.330512,3.479925,3.943974,4.982094
fruit,fruit_jpeg_lumichr_r5,jpeg_lumichr,5,1.5,0.11621856,0.14843059,16.437197,12.2313747406,4.987864,4.012181,4.199903,4.777385,5.986304
fruit,fruit_jpeg_r1,jpeg,1,4.26923,0.01882463,0.05550453,5.599515,4.7064299583,1.941303,1.596036,1.652989,1.845069,2.325851
fruit,fruit_jpeg_r2,jpeg,2,3.8846199999999995,0.02777676,0.07187636,10.164173,9.2452573776,3.01116,2.007363,2.119592,2.719941,4.193948
fruit,fruit_jpeg_r3,jpeg,3,3.23077,0.04817429,0.09571352,9.075072,8.4735412598,3.567872,2.685006,2.809334,3.315575,4.578707
fruit,fruit_jpeg_r4,jpeg,4,1.6923099999999998,0.10289577,0.14650049,15.005526000000001,11.2567596436,4.861569,4.079193,4.232175,4.701942,5.65059
fruit,fruit_jpeg_r5,jpeg,5,1.11538,0.14680776,0.17673173,19.346071,15.1881904602,6.942468,5.223627,5.530566,6.627114,8.669725
fruit,fruit_lar_r1,lar,1,1.96154,0.12946932,0.15725878,31.859631,23.2193183899,7.589354,5.101945,5.54999,7.049166,10.168907
fruit,fruit_lar_r2,lar,2,3.3846199999999995,0.05639244,0.10478891,14.031981,11.1612501144,4.100418,3.194544,3.341452,3.844995,5.114806
fruit,fruit_lar_r3,lar,3,3.7692300000000003,0.0476769,0.09833341,14.173110999999999,11.1647014618,3.91625,2.860625,3.032014,3.646128,5.070609
fruit,fruit_lar_r4,lar,4,4.30769,0.02521319,0.06484084,8.905956,6.1779251099,2.430194,2.00065,2.072006,2.299698,2.918877
fruit,fruit_lar_r5,lar,5,4.4230800000000015,0.02367433,0.05883935,8.193538,5.4238033295,2.224586,1.859991,1.928023,2.136415,2.609321
house,house_j2000_r1,j2000,1,4.65385,0.01312261,0.05945187,5.163196,4.506729126,1.780432,1.342256,1.440594,1.718581,2.182119
house,house_j2000_r2,j2000,2,4.26923,0.02126922,0.07049078,5.869718,6.0147790909,2.229388,1.725323,1.8319,2.13851,2.717756
house,house_j2000_r3,j2000,3,3.42308,0.04798782,0.11516301,8.233903,9.0846204758,3.448656,2.601836,2.774188,3.292748,4.279032
house,house_j2000_r4,j2000,4,2.11538,0.09290274,0.17096398,14.997928,15.6412944794,5.203094,3.816328,4.100146,4.920123,6.589013
house,house_j2000_r5,j2000,5,1.15385,0.16900543,0.23815759,32.472244,30.2418937683,9.12977,5.919882,6.506371,8.32437,12.558568
house,house_jpeg_r1,jpeg,1,4.69231,0.02269171,0.08210215,6.998247999999999,5.3543133736,2.2918,1.712557,1.796055,2.146431,2.932913
house,house_jpeg_r2,jpeg,2,4.03846,0.03626177,0.10177285,7.654648,5.626639843,2.633747,2.210343,2.291256,2.547149,3.062836
house,house_jpeg_r3,jpeg,3,3.26923,0.06067083,0.13119644,9.539549000000001,7.9004192352,4.046422,3.135957,3.308533,3.902521,4.928212
house,house_jpeg_r4,jpeg,4,1.61538,0.10857713,0.18381625,12.184202,12.145198822,5.596823,4.578604,4.793248,5.451702,6.545517
house,house_jpeg_r5,jpeg,5,1.2307700000000001,0.16049127,0.22651712,15.514653,15.354514122,7.047399,5.660286,5.916864,6.778704,8.446629
house,house_lar_r1,lar,1,1.2307700000000001,0.12924727,0.20208391,36.221218,33.4393463135,10.503831,5.22115,5.869329,9.253593,16.388573
house,house_lar_r2,lar,2,2.76923,0.06002647,0.14198937,19.323572,17.2794399261,4.901323,3.279321,3.505606,4.324078,6.874286
house,house_lar_r3,lar,3,3.0,0.04649552,0.12442863,18.927920999999998,17.4195041656,4.619992,2.848637,3.070192,3.933014,6.856771
house,house_lar_r4,lar,4,3.69231,0.02602241,0.0935834,6.770853,5.8196558952,2.439915,2.033801,2.117874,2.362017,2.839855
house,house_lar_r5,lar,5,4.0,0.0239824,0.08007378,6.440187,5.1886081696,2.294618,1.858154,1.938282,2.193923,2.751649
isabe,isabe_j2000_r1,j2000,1,4.76923,0.01377595,0.08105982,5.061425,4.9585461617,1.829238,1.373762,1.451006,1.724984,2.311725
isabe,isabe_j2000_r2,j2000,2,4.26923,0.02307018,0.10250255,6.50385,5.8072061539,2.286205,1.770378,1.864204,2.181323,2.813086
isabe,isabe_j2000_r3,j2000,3,3.15385,0.04514465,0.13537351,9.64352,8.4482603073,3.258543,2.504037,2.637185,3.092043,4.0464
isabe,isabe_j2000_r4,j2000,4,2.57692,0.06404638,0.15132449,11.351486,11.2037906647,4.01554,3.105135,3.273357,3.81721,4.956053
isabe,isabe_j2000_r5,j2000,5,1.2692299999999999,0.10229686,0.17746996,16.726868,15.5924110413,5.727341,4.393459,4.656515,5.465645,7.059861
isabe,isabe_jpeg_lumichr_r1,jpeg_lumichr,1,4.576919999999999,0.01616779,0.07550013,4.282615,4.3012666702,1.778402,1.492295,1.542951,1.708556,2.083698
isabe,isabe_jpeg_lumichr_r2,jpeg_lumichr,2,4.23077,0.02467006,0.09255191,5.890783,5.3204479218,2.180262,1.815959,1.880279,2.09404,2.566467
isabe,isabe_jpeg_lumichr_r3,jpeg_lumichr,3,3.15385,0.04037951,0.11758314,7.161811,7.1214723587,2.836221,2.321887,2.410585,2.709627,3.388452
isabe,isabe_jpeg_lumichr_r4,jpeg_lumichr,4,2.23077,0.07039679,0.14539402,10.401726,9.43953228,3.880327,3.138551,3.271329,3.711305,4.658347
isabe,isabe_jpeg_lumichr_r5,jpeg_lumichr,5,1.46154,0.10611288,0.16804021,13.258064000000001,11.2342576981,4.894825,4.004152,4.181046,4.728211,5.775217
isabe,isabe_jpeg_r1,jpeg,1,4.30769,0.0240282,0.09490969,11.736796,8.1007499695,2.762543,1.807029,1.921913,2.512868,3.852848
isabe,isabe_jpeg_r2,jpeg,2,3.9615400000000003,0.03412341,0.11055804,12.727358,11.2746944427,3.292467,2.149135,2.267699,2.895775,4.713927
isabe,isabe_jpeg_r3,jpeg,3,2.65385,0.05764785,0.14295922,16.268915,12.5511264801,4.062977,2.860507,2.991356,3.627335,5.57024
isabe,isabe_jpeg_r4,jpeg,4,1.96154,0.08260433,0.16600831,15.624853,13.5050392151,4.718083,3.480216,3.636004,4.285119,6.233127
isabe,isabe_jpeg_r5,jpeg,5,1.2692299999999999,0.13307571,0.2053231,20.113672,15.6708698273,6.046994,4.73101,4.941329,5.706596,7.493055
lenat,lenat_flou_f1,flou,1,4.53846,0.01186705,0.04905049,13.228088,8.3203372955,2.69314,1.232405,1.449998,2.508998,4.120425
lenat,lenat_flou_f2,flou,2,2.92308,0.05761919,0.12163814,23.130709,14.05971241,5.034552,2.859995,3.296895,4.694496,7.112264
lenat,lenat_flou_f3,flou,3,1.8076900000000002,0.11258958,0.17550257,32.279571999999995,28.5101089478,8.836486,4.893424,5.795662,8.255006,12.458789
lenat,lenat_flou_f4,flou,4,1.6923099999999998,0.13419139,0.19079079,36.714252,29.2243824005,10.196475,5.71953,6.816454,9.698265,14.074706
lenat,lenat_flou_f5,flou,5,1.19231,0.20516114,0.22220121,61.815231000000004,44.1252670288,15.384946,8.44872,10.196999,14.631322,21.326517
lenat,lenat_j2000_r1,j2000,1,4.88462,0.00758211,0.04634965,3.938383,3.4322009087,1.585958,1.325268,1.38737,1.552398,1.818106
lenat,lenat_j2000_r2,j2000,2,4.23077,0.02151452,0.08185204,7.081100999999999,7.2115631104,2.633919,2.070412,2.171249,2.506448,3.224061
lenat,lenat_j2000_r3,j2000,3,3.11538,0.04300074,0.11218684,11.135366000000001,10.7218017578,3.830413,2.874312,3.033359,3.583336,4.874545
lenat,lenat_j2000_r4,j2000,4,2.23077,0.05929159999999999,0.12619259,13.245115,11.5393428802,4.617582,3.419513,3.643756,4.39324,5.815749
lenat,lenat_j2000_r5,j2000,5,1.34615,0.09351671,0.15255832,21.539656,18.1883773804,6.25243,4.396716,4.733287,5.83488,8.189123
lenat,lenat_jpeg_r1,jpeg,1,4.26923,0.01942987,0.07887953,4.727707,4.172721386,2.002767,1.782117,1.824259,1.954099,2.229943
lenat,lenat_jpeg_r2,jpeg,2,3.65385,0.02696639,0.08982708,5.808798,5.3834986687,2.375419,2.088379,2.140332,2.305359,2.680566
lenat,lenat_jpeg_r3,jpeg,3,2.34615,0.05828269,0.12356324,8.953025,8.7930641174,3.7529,3.153672,3.249197,3.576169,4.433334
lenat,lenat_jpeg_r4,jpeg,4,1.5,0.09412683,0.15650957,11.975398,13.4662132263,5.002695,4.097602,4.242669,4.735088,6.030328
lenat,lenat_jpeg_r5,jpeg,5,1.11538,0.12786501,0.17587666,13.843084,14.3240795135,6.130504,5.062912,5.260252,5.903074,7.228185
lenat,lenat_lar_r1,lar,1,1.6923099999999998,0.09744576,0.15598522,24.097322,22.389705658,7.241725,4.603765,5.088666,6.742702,9.893808
lenat,lenat_lar_r2,lar,2,2.80769,0.04731606,0.11916847,13.220552,12.252989769,4.35112,3.168556,3.34793,4.022564,5.682867
lenat,lenat_lar_r3,lar,3,3.92308,0.03493898,0.10537910000000002,12.723958,12.232208252,4.025854,2.664931,2.850973,3.641301,5.585288
lenat,lenat_lar_r4,lar,4,4.11538,0.02263521,0.08690174,6.9610259999999995,5.5164403915,2.330435,1.977615,2.039074,2.241156,2.711075
lenat,lenat_lar_r5,lar,5,4.38462,0.02103735,0.08144461,7.489371,5.2760763168,2.217366,1.851366,1.911243,2.116186,2.624668
mandr,mandr_j2000_r1,j2000,1,4.34615,0.04817751,0.14244914,11.484639,9.6844873428,3.059125,2.253797,2.385046,2.806488,3.98584
mandr,mandr_j2000_r2,j2000,2,4.26923,0.06608278,0.16417794,10.94144,9.7287492752,3.672563,2.704387,2.870609,3.442511,4.70457
mandr,mandr_j2000_r3,j2000,3,3.30769,0.13150903,0.23027444,17.931231,15.7051038742,5.634514,4.074038,4.343215,5.281246,7.27908
mandr,mandr_j2000_r4,j2000,4,1.7692299999999999,0.29805361,0.33334821,33.986294,27.4832992554,10.000239,7.019978,7.55156,9.361943,13.087212
mandr,mandr_j2000_r5,j2000,5,1.15385,0.49983841,0.42659909,45.082882,40.3901176453,14.589974,10.5104,11.304448,13.719522,18.745953
mandr,mandr_jpeg_lumichr_r1,jpeg_lumichr,1,4.576919999999999,0.02894718,0.08263972,4.3885440000000004,4.3662600517,1.942032,1.716873,1.763026,1.898618,2.164453
mandr,mandr_jpeg_lumichr_r2,jpeg_lumichr,2,4.5,0.03824578,0.09548807,4.902225,4.6363582611,2.248724,1.993258,2.045272,2.199635,2.501266
mandr,mandr_jpeg_lumichr_r3,jpeg_lumichr,3,3.34615,0.09546466,0.1532955,9.244982,8.7931175232,3.825042,3.273994,3.373169,3.693602,4.408355
mandr,mandr_jpeg_lumichr_r4,jpeg_lumichr,4,2.92308,0.12691953,0.17452415,11.177078999999999,10.8796863556,4.523523,3.836581,3.961684,4.366526,5.242359
mandr,mandr_jpeg_lumichr_r5,jpeg_lumichr,5,1.61538,0.23812563,0.23711784,15.925761999999999,15.2333755493,6.685814,5.481145,5.70777,6.440682,7.908991
mandr,mandr_jpeg_r1,jpeg,1,4.61538,0.03315054,0.12412349999999998,6.393498999999999,4.7508559227,2.147783,1.895484,1.940625,2.085094,2.417631
mandr,mandr_jpeg_r2,jpeg,2,3.80769,0.0711637,0.16908502,9.782788,6.8273272514,3.21352,2.843312,2.909597,3.121562,3.6094
mandr,mandr_jpeg_r3,jpeg,3,3.0,0.13574025,0.22638524,13.430188000000001,10.4934692383,4.71584,4.055711,4.170627,4.550083,5.426811
mandr,mandr_jpeg_r4,jpeg,4,2.26923,0.18594989,0.26016768,17.133974,14.8996753693,5.833587,4.900342,5.052236,5.570382,6.878144
mandr,mandr_jpeg_r5,jpeg,5,1.5,0.29284084,0.31337506,22.102222,21.7169361115,8.162673,6.533419,6.788906,7.700763,9.998349
mandr,mandr_lar_r1,lar,1,2.0384599999999997,0.19905235,0.29583978,25.631014,21.6075706482,7.982546,6.194824,6.518332,7.564277,9.865027
mandr,mandr_lar_r2,lar,2,3.4615400000000003,0.08400056,0.2085156,17.873323000000003,10.7250986099,4.595714,3.844646,3.969693,4.400119,5.41733
mandr,mandr_lar_r3,lar,3,4.03846,0.06121015,0.18087773,13.654719,10.3477497101,4.038738,3.136728,3.290803,3.834709,4.9907
mandr,mandr_lar_r4,lar,4,4.46154,0.03816559,0.14706341,7.309566,5.7299766541,2.725826,2.410958,2.468817,2.652237,3.056424
mandr,mandr_lar_r5,lar,5,4.38462,0.03162642,0.1285634,7.597264,5.7036123276,2.393906,2.061436,2.122577,2.316261,2.742879
pimen,pimen_j2000_r1,j2000,1,4.69231,0.01354684,0.0811534,4.973398,5.2370376587,2.159509,1.73309,1.823995,2.082212,2.572319
pimen,pimen_j2000_r2,j2000,2,4.34615,0.02803749,0.11584953,10.552105000000001,9.6944637299,3.518235,2.633605,2.789957,3.307637,4.45711
pimen,pimen_j2000_r3,j2000,3,3.34615,0.04298646,0.13042457,13.803188,12.3591375351,4.420939,3.275245,3.467897,4.13815,5.656769
pimen,pimen_j2000_r4,j2000,4,2.5384599999999997,0.08031706,0.15943463,24.114323000000002,24.5019512177,6.850185,4.472348,4.76373,5.911516,9.875309
pimen,pimen_j2000_r5,j2000,5,1.0,0.24088312,0.2400136,93.937538,102.4045944214,25.960379,9.533879,11.246832,22.160336,44.473969
pimen,pimen_jpeg_r1,jpeg,1,3.57692,0.04283051,0.13191532,11.038647000000001,8.9536342621,3.546449,2.865663,2.97197,3.35307,4.314306
pimen,pimen_jpeg_r2,jpeg,2,3.5384599999999997,0.05277906,0.14006401,11.957952,10.2046527863,3.955114,3.18243,3.301684,3.73261,4.831048
pimen,pimen_jpeg_r3,jpeg,3,2.84615,0.06637893,0.1514097,13.131844000000001,12.3875102997,4.576127,3.601332,3.745322,4.279447,5.703611
