ref_img,dist_img,dst_type,dst_lev,var,dmos,DSSIM,SSIMULACRA,Butteraugli,Butteraugli_XL,Butteraugli_XL_3m,Butteraugli_XL_2s,Butteraugli_XL_3s,Butteraugli_XL_6s,Butteraugli_XL_12s
I01.png,I01_05_04.png,5,4,0.537,1.33,0.09876009,0.10988164,60.299866,54.0291023254,15.606887,5.197818,7.792165,14.453586,24.574911
I01.png,I01_05_05.png,5,5,0.611,1.6,0.09439595,0.10741027,54.724686,46.128162384,14.477945,5.161987,7.711061,13.847596,21.875179
I01.png,I01_06_01.png,6,1,0.7609999999999999,4.23,0.01785893,0.15908815,10.190348,7.515422821,3.62659,3.155239,3.274922,3.561854,4.042995
I01.png,I01_06_02.png,6,2,0.5539999999999999,4.4,0.02354517,0.19006788,13.338642000000002,7.6240673065,3.55313,3.186628,3.261171,3.482545,3.915673
I01.png,I01_06_03.png,6,3,0.943,3.9,0.03027612,0.21756141,12.982463,6.7263069153,3.475465,3.15147,3.216291,3.412137,3.797967
I01.png,I01_06_04.png,6,4,0.831,2.9,0.06006422,0.27478594,18.683397,23.4595680237,10.907258,9.197217,9.590894,10.524351,12.606527
I01.png,I01_06_05.png,6,5,0.929,2.27,0.12278442,0.35836183,31.329159000000004,30.921333313,13.738514,9.903719,10.533276,12.893488,17.788779
I01.png,I01_07_01.png,7,1,1.123,2.73,0.05743849,0.057506899999999986,46.227322,64.4317321777,36.506814,30.410435,32.293436,36.281893,40.945114
I01.png,I01_07_02.png,7,2,1.025,2.5,0.10217569,0.09308876,60.275978,85.7572555542,48.706411,40.51436,43.071206,48.461164,54.586863
I01.png,I01_07_03.png,7,3,1.062,2.27,0.12985124,0.11302047,68.161652,96.7195892334,54.621786,45.426948,48.309741,54.373532,61.182084
I01.png,I01_07_04.png,7,4,1.147,2.47,0.16062539,0.1340178,77.279976,105.7612075806,60.363312,50.189804,53.388279,60.108635,67.593021
I01.png,I01_07_05.png,7,5,0.945,2.2,0.29329686,0.20139494,93.764008,123.4574203491,70.892522,57.418012,61.813345,70.720996,80.143227
I01.png,I01_08_01.png,8,1,0.458,4.7,9e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I01.png,I01_08_02.png,8,2,0.616,3.77,0.05187681,0.03468114,37.410709,34.517829895,25.306619,22.301143,23.32767,25.282032,27.310155
I01.png,I01_08_03.png,8,3,1.062,2.73,0.12100604,0.09293813,48.847878,49.4346466064,33.960228,30.515888,31.5126,33.710435,36.65765
I01.png,I01_08_04.png,8,4,0.912,1.97,0.2008319,0.16246017,62.29771,68.6496429443,38.74366,32.238359,33.590939,37.822879,44.817161
I01.png,I01_08_05.png,8,5,0.6990000000000001,1.67,0.60179517,0.34534239,63.634308,105.7853240967,55.013374,43.394981,46.869135,54.985646,63.185341
I01.png,I01_09_01.png,9,1,0.49,4.6,0.00244751,0.01235269,1.876021,1.8127868176,0.824181,0.670155,0.708265,0.803893,0.960385
I01.png,I01_09_02.png,9,2,0.537,4.67,0.00954221,0.02988934,4.684529,4.5360622406,1.731892,1.329195,1.410256,1.652608,2.132811
I01.png,I01_09_03.png,9,3,0.611,4.4,0.01643425,0.04456427,6.144916,5.1233859062,2.19699,1.720833,1.816874,2.107142,2.666953
I01.png,I01_09_04.png,9,4,1.044,2.9,0.06396203,0.10707091,15.033719,13.6016159058,5.098592,3.48542,3.800248,4.828744,6.666784
I01.png,I01_09_05.png,9,5,0.547,1.37,0.18507659,0.19055657,36.165283,28.432144165,10.525619,6.672464,7.50917,9.977029,14.090657
I01.png,I01_10_01.png,10,1,0.657,4.37,0.01478302,0.04877225,4.004726,3.8120219707,1.653906,1.439347,1.47762,1.59963,1.884467
I01.png,I01_10_02.png,10,2,0.8540000000000001,3.93,0.01744101,0.05433543,5.075951,5.1185564995,1.87533,1.601397,1.642893,1.779384,2.203713
I01.png,I01_10_03.png,10,3,0.8029999999999999,3.77,0.02879016,0.07069551,5.738486,5.1558122635,2.344256,2.06813,2.121671,2.284339,2.626759
I01.png,I01_10_04.png,10,4,0.555,1.58,0.14697314,0.17839153,15.155613,13.0618953705,6.120722,5.094672,5.286925,5.902119,7.173123
I01.png,I01_10_05.png,10,5,0.373,1.17,0.30845732,0.24827058,27.124321,32.9635353088,13.032571,9.151448,9.703399,12.038161,17.356152
I01.png,I01_11_01.png,11,1,0.948,4.03,0.03015646,0.20500986,6.459996,3.437530756,1.968416,1.783004,1.831133,1.948215,2.125898
I01.png,I01_11_02.png,11,2,0.8140000000000001,3.27,0.05680896,0.29136795,8.628051,4.1992530823,2.439987,2.248098,2.294563,2.414796,2.610603
I01.png,I01_11_03.png,11,3,0.745,2.67,0.08115261,0.34648752,11.071486,4.8839125633,2.814401,2.623937,2.66716,2.785215,2.990829
I01.png,I01_11_04.png,11,4,0.772,2.27,0.12361126,0.4112545,14.013556,5.7656164169,3.501157,3.232006,3.289441,3.456191,3.757838
I01.png,I01_11_05.png,11,5,0.752,2.37,0.21282112,0.49665453,17.952196,8.4702072144,5.09984,4.548566,4.681639,5.047783,5.570097
I01.png,I01_12_01.png,12,1,0.5589999999999999,4.43,0.00864608,0.08101285,3.689066,2.4679121971,1.30765,1.147485,1.1928,1.294341,1.43581
I01.png,I01_12_02.png,12,2,0.69,3.7,0.03952417,0.24034264,8.049412,4.0035762787,2.193751,1.996891,2.04598,2.169633,2.365639
I01.png,I01_12_03.png,12,3,0.883,2.77,0.07181464,0.32980269,10.391421,4.6569314003,2.71503,2.514875,2.561851,2.686604,2.896634
I01.png,I01_12_04.png,12,4,0.836,2.37,0.13061798,0.42390332,15.512749,5.8332386017,3.560823,3.313138,3.367686,3.522673,3.79211
I01.png,I01_12_05.png,12,5,0.547,1.97,0.1765485,0.47334744,17.972843,6.9072256088,4.384379,4.017962,4.10014,4.335584,4.717414
I01.png,I01_13_01.png,13,1,0.789,3.67,0.02532771,0.03481425,22.97592,10.9399108887,3.774039,1.26137,1.960616,3.697477,5.664022
I01.png,I01_13_02.png,13,2,1.087,2.87,0.11099788,0.11092365,30.511791,14.9103593826,5.387503,2.935483,3.631812,5.282792,7.247905
I01.png,I01_13_03.png,13,3,0.6629999999999999,2.6,0.17714719,0.18594242,41.78608300000001,17.1410865784,6.395842,4.012244,4.666842,6.255767,8.264916
I01.png,I01_13_04.png,13,4,0.727,2.07,0.28544808,0.3029364,45.641998,17.404920578,7.705131,5.480782,6.068931,7.548341,9.498122
I01.png,I01_13_05.png,13,5,0.657,2.03,0.37840899,0.37993683,58.923759,19.3798522949,9.07555,6.722878,7.360569,8.937134,10.928948
I01.png,I01_14_01.png,14,1,0.616,4.57,0.00744263,0.08594057,4.177089,2.6365492344,1.302311,1.042941,1.123145,1.291259,1.492529
I01.png,I01_14_02.png,14,2,1.023,3.57,0.03397266,0.23455957,9.436544,4.1629486084,2.126451,1.790805,1.889158,2.105666,2.384528
I01.png,I01_14_03.png,14,3,0.846,3.13,0.06190565,0.31964792,11.366922,4.8974704742,2.554656,2.201025,2.301914,2.529899,2.832154
I01.png,I01_14_04.png,14,4,0.764,2.5,0.1094526,0.40444732,17.525385,5.8574800491,3.070791,2.690037,2.793209,3.035547,3.383616
I01.png,I01_14_05.png,14,5,0.68,2.27,0.21558701,0.51962222,24.452827,7.3068408966,4.092459,3.639234,3.756126,4.045977,4.475274
I01.png,I01_15_01.png,15,1,0.989,3.57,0.04863673,0.10327084,11.267862,7.671628952,3.557327,2.970453,3.106072,3.47079,4.09512
I01.png,I01_15_02.png,15,2,0.912,2.63,0.09434016,0.16220758,15.636145999999998,11.3443231583,5.947769,4.930167,5.196501,5.86323,6.783575
I01.png,I01_15_03.png,15,3,0.607,1.77,0.13941132,0.21079934,18.230373,11.9458026886,5.516821,4.539888,4.74822,5.367622,6.434622
I01.png,I01_15_04.png,15,4,0.49,1.4,0.27246915,0.33888121,25.405348,18.4457092285,8.172521,6.565604,6.934207,7.975622,9.607733
I01.png,I01_15_05.png,15,5,0.471,1.33,0.42951688,0.45194391,37.282986,24.8383235931,14.691353,11.863204,12.731182,14.638933,16.703944
I01.png,I01_16_01.png,16,1,0.547,4.37,0.00289989,0.00525975,6.6189339999999985,10.5284585953,7.25639,6.859397,6.968957,7.233321,7.566894
I01.png,I01_16_02.png,16,2,0.562,4.47,0.01068251,0.01620848,13.446441,20.0014533997,14.044037,13.337665,13.529872,13.998291,14.603948
I01.png,I01_16_03.png,16,3,0.504,3.94,0.03942918,0.04828253,21.754139,37.3079452515,26.706849,25.518788,25.837391,26.622122,27.661033
I01.png,I01_16_04.png,16,4,0.898,3.17,0.1210676,0.1176364,37.667213,62.4582443237,45.219741,43.482865,43.944379,45.080231,46.634611
I01.png,I01_16_05.png,16,5,0.7959999999999999,2.18,0.35185524,0.25541624,82.971809,139.0093688965,81.674204,69.748312,72.153862,79.617322,93.251428
I01.png,I01_17_01.png,17,1,0.5,4.5,0.00080713,0.001716,3.112742,5.1537876129,3.663898,3.48666,3.536058,3.654002,3.801633
I01.png,I01_17_02.png,17,2,0.496,4.57,0.00334101,0.00680353,6.051776,10.0885820389,7.650956,7.230153,7.348968,7.630542,7.97336
I01.png,I01_17_03.png,17,3,0.596,4.33,0.01365277,0.02897442,11.579577,20.9049911499,15.415988,14.554534,14.802037,15.380567,16.06536
I01.png,I01_17_04.png,17,4,0.879,3.4,0.06601963,0.14183435,24.203201,44.2411155701,31.958646,29.943102,30.538578,31.899588,33.43777
I01.png,I01_17_05.png,17,5,0.846,2.13,0.398816,0.53034702,60.259109,77.5207748413,62.499294,58.163922,59.442888,62.380533,65.674462
I01.png,I01_18_01.png,18,1,0.5,4.5,0.011055,0.01191254,12.699904,17.0594425201,11.802377,10.980157,11.234151,11.783652,12.389327
I01.png,I01_18_02.png,18,2,0.496,4.57,0.00286947,0.00373428,6.8259539999999985,8.729763031,6.023634,5.579025,5.717818,6.014748,6.338337
I01.png,I01_18_03.png,18,3,0.496,4.57,9e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I01.png,I01_18_04.png,18,4,0.795,4.37,0.00787613,0.04997751,9.563739,14.3327646255,10.352862,9.34662,9.679415,10.355987,11.023184
I01.png,I01_18_05.png,18,5,0.657,3.97,0.0324157,0.12247924,19.527931,26.5601215363,19.185114,17.53602,18.058888,19.160931,20.335524
I01.png,I01_19_01.png,19,1,0.499,4.53,0.0024094,0.00878284,3.895732,5.6659488678,3.830891,3.114116,3.361537,3.849779,4.281357
I01.png,I01_19_02.png,19,2,0.727,3.93,0.0059827,0.01824011,5.5915040000000005,8.3312721252,5.613513,4.541051,4.91705,5.642597,6.280893
I01.png,I01_19_03.png,19,3,0.8029999999999999,2.77,0.02662685,0.05640817,13.520945,21.0849246979,13.9662,11.218256,12.212141,14.034315,15.652145
I01.png,I01_19_04.png,19,4,0.562,1.53,0.05500735,0.10911188,20.112867,15.1522550583,9.584764,7.880707,8.488581,9.614529,10.651181
I01.png,I01_19_05.png,19,5,0.482,1.37,0.12913888,0.20603715,30.680147,22.8418159485,12.582271,10.256413,10.976835,12.473648,14.29633
I01.png,I01_20_01.png,20,1,0.67,4.53,0.01861158,0.02364921,29.683174,28.8437309265,7.076807,1.226028,2.432853,6.315329,12.482239
I01.png,I01_20_02.png,20,2,1.136,3.9,0.0406075,0.04594275,68.395546,58.4705085754,14.406904,2.461078,4.791251,12.901106,25.528356
I01.png,I01_20_03.png,20,3,0.966,4.0,0.05665946,0.05519142,70.953323,54.7534637451,13.571599,3.085867,5.405008,12.177687,23.132101
I01.png,I01_20_04.png,20,4,1.35,3.33,0.06962069,0.06279395,62.33865,53.2973022461,13.931287,3.115988,5.414921,12.712855,23.666084
I01.png,I01_20_05.png,20,5,1.5419999999999998,3.23,0.0880687,0.07303634,72.04660799999998,47.6556129456,13.34657,3.660984,5.949776,12.475243,21.614691
I01.png,I01_21_01.png,21,1,0.948,3.37,0.03676487,0.07018789999999997,22.942497,14.7344694138,4.846811,2.329429,2.916012,4.595863,7.028558
I01.png,I01_21_02.png,21,2,0.883,2.57,0.04273267,0.07362518,24.549162,16.4470329285,5.37467,2.687244,3.346068,5.129562,7.648379
I01.png,I01_21_03.png,21,3,0.74,2.03,0.03747441,0.06917758,22.576849,14.0911464691,4.855144,2.463618,3.040293,4.606813,6.918325
I01.png,I01_21_04.png,21,4,0.884,2.13,0.04040573,0.07837403,21.3876,13.9243993759,4.544125,2.49248,2.988541,4.330478,6.313357
I01.png,I01_21_05.png,21,5,0.5589999999999999,1.43,0.12443668,0.16662964,52.216259,27.7670288086,9.632268,4.878759,6.057001,9.210907,13.628896
I01.png,I01_22_01.png,22,1,0.605,4.63,0.01445491,0.05255273,7.275726,9.8674459457,4.525451,3.958832,4.031459,4.294872,5.250022
I01.png,I01_22_02.png,22,2,0.894,4.0,0.02386665,0.06875195,9.234095,19.3052330017,6.674424,5.043538,5.205241,5.936318,8.881713
I01.png,I01_22_03.png,22,3,0.931,4.0,0.0383924,0.08870417,11.84569,17.9395828247,7.593118,5.986225,6.174548,7.000276,9.60453
I01.png,I01_22_04.png,22,4,0.98,3.2,0.07950437,0.12257561,23.17206,29.8111038208,13.898931,8.517523,9.480029,13.404173,18.812592
I01.png,I01_22_05.png,22,5,0.909,2.2,0.15121944,0.18196868,29.409302,44.1496734619,20.89298,12.7616,14.424441,20.370653,27.883845
I01.png,I01_23_01.png,23,1,0.929,2.73,0.03534428,0.04648235,89.93248,117.4019317627,35.322239,5.948327,13.243133,33.875688,58.847895
I01.png,I01_23_02.png,23,2,0.86,2.17,0.05635709,0.06186203,99.852486,129.1448822021,40.634808,8.162619,16.557426,39.154702,66.192295
I01.png,I01_23_03.png,23,3,0.945,2.2,0.12472674,0.0951827,109.13839,129.7917785645,43.733729,11.257417,20.353304,42.451795,68.396088
I01.png,I01_23_04.png,23,4,1.197,2.37,0.14173783,0.09307072,116.554726,209.0898590088,71.815937,17.188838,31.689449,70.120128,113.638234
I01.png,I01_23_05.png,23,5,0.616,1.57,0.17722467,0.10333201,153.245026,257.4467163086,87.708546,20.809129,39.053016,86.527843,137.544779
I01.png,I01_24_01.png,24,1,0.92,3.57,0.05663907,0.0594552,21.874924,12.4856595993,5.173977,3.273061,3.812975,5.051025,6.657931
I01.png,I01_24_02.png,24,2,0.847,2.5,0.1533139,0.12632082,33.078949,20.2632331848,8.616157,5.509757,6.382668,8.416303,11.0495
I01.png,I01_24_03.png,24,3,0.67,1.87,0.25559862,0.1857431,44.820889,24.2310714722,11.060177,7.180793,8.283008,10.84488,14.052643
I01.png,I01_24_04.png,24,4,0.5539999999999999,1.6,0.57719175,0.31991332,71.371452,36.8768463135,16.461958,10.713032,12.305872,16.102719,20.977283
I01.png,I01_24_05.png,24,5,0.5539999999999999,1.4,1.19629316,0.49057267,105.564232,49.8067321777,22.671119,15.088749,17.20822,22.293714,28.511423
I01.png,I01_25_01.png,25,1,0.8440000000000001,3.43,0.07486211,0.13482021,26.068008,29.692150116,19.12954,16.591039,17.335267,19.055203,20.998149
I01.png,I01_25_02.png,25,2,0.8059999999999999,3.87,0.03961853,0.07713105,19.067905,21.8591957092,14.229143,12.313163,12.895726,14.195304,15.5964
I01.png,I01_25_03.png,25,3,0.5660000000000001,4.26,0.01415848,0.02708602,11.336998,13.3442983627,8.611151,7.420422,7.79108,8.599603,9.442769
I01.png,I01_25_04.png,25,4,0.5820000000000001,4.17,0.01778842,0.02221092,12.362344,15.0280313492,9.545772,8.140928,8.589885,9.5408,10.506629
I01.png,I01_25_05.png,25,5,0.8540000000000001,3.27,0.08253984,0.07961079,25.65056,32.4338569641,19.674394,16.795227,17.700971,19.645877,21.676334
I02.png,I02_01_01.png,1,1,0.7190000000000001,4.5,1.93e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I02.png,I02_01_02.png,1,2,0.934,4.17,0.00880616,0.01455371,2.7511080000000003,3.2917861938,1.811041,1.279057,1.444532,1.806409,2.182183
I02.png,I02_01_03.png,1,3,0.772,2.07,0.08356329,0.12559469999999998,7.643256,8.0493583679,4.219138,3.419723,3.647559,4.169163,4.840692
I02.png,I02_01_04.png,1,4,0.496,1.57,0.26179768,0.27716312,22.484903,18.9114208221,9.084762,7.414807,7.863881,8.917773,10.472631
I02.png,I02_01_05.png,1,5,0.512,1.27,0.77344631,0.43472197,100.658722,63.2531394958,26.932019,19.934626,21.664063,26.132981,32.999011
I02.png,I02_02_01.png,2,1,0.748,3.2,0.03114352,0.05437916,4.9566,5.589006424,2.912328,2.194972,2.40662,2.890236,3.440128
I02.png,I02_02_02.png,2,2,0.8540000000000001,2.27,0.12080721,0.18004826,9.612844,10.1681623459,5.029634,4.118561,4.375966,4.962421,5.750516
I02.png,I02_02_03.png,2,3,0.616,1.57,0.36447403,0.33911813,32.129272,26.1251430511,11.519078,8.995355,9.613108,11.173174,13.770952
I02.png,I02_02_04.png,2,4,0.373,1.17,0.60490707,0.41030975,68.24515500000001,47.3147277832,18.715256,14.014119,15.127881,18.054563,22.963325
I02.png,I02_02_05.png,2,5,0.0,1.0,0.83394953,0.44828957,86.677711,60.8479804993,24.243953,17.818433,19.322478,23.364259,30.045123
I02.png,I02_03_01.png,3,1,0.5539999999999999,4.6,1.93e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I02.png,I02_03_02.png,3,2,0.716,3.77,0.02063738,0.03512164,4.220045,4.7855567932,2.525289,1.827659,2.036982,2.510594,3.02829
I02.png,I02_03_03.png,3,3,0.6990000000000001,2.33,0.07695489999999999,0.11757582,7.886941,8.330201149,3.964027,3.071817,3.334628,3.917884,4.639569
I02.png,I02_03_04.png,3,4,0.542,1.8,0.14794469,0.18345507,16.78792,14.9434642792,5.63755,4.044991,4.397288,5.307072,7.208289
I02.png,I02_03_05.png,3,5,0.4,1.2,0.36782857,0.28850294,45.838314,29.7308292389,11.770938,8.017351,8.838318,11.17071,15.303785
I02.png,I02_04_01.png,4,1,0.64,4.3,0.00183965,0.01755666,2.849427,4.2336788177,1.166019,0.443738,0.576259,1.045075,1.876722
I02.png,I02_04_02.png,4,2,0.8690000000000001,2.67,0.02999109,0.0452659,19.869328,33.4008712769,13.289483,9.445895,10.574101,13.041072,16.253277
I02.png,I02_04_03.png,4,3,0.763,1.87,0.07487143,0.07961251,25.347137,32.0713882446,20.199193,15.840728,17.275176,20.207872,23.114531
I02.png,I02_04_04.png,4,4,0.716,1.77,0.09699496,0.09366669,28.774382,35.9958839417,24.172314,18.934305,20.634795,24.19703,27.685117
I02.png,I02_04_05.png,4,5,0.718,1.53,0.13652727,0.11860902,35.639336,47.7952804565,31.839993,24.247136,26.620421,31.881243,37.018315
I02.png,I02_05_01.png,5,1,0.7609999999999999,3.77,0.06673596,0.15071816,13.228807000000002,10.3126811981,3.956875,2.422368,2.880655,3.871446,5.118525
I02.png,I02_05_02.png,5,2,0.476,1.8,0.1599638,0.19034022,20.840475,16.5025119781,6.986878,4.275795,5.105905,6.880653,8.974076
I02.png,I02_05_03.png,5,3,0.471,1.33,0.23005241,0.20303814,26.580170000000006,22.1891403198,8.778013,5.347858,6.358657,8.570823,11.40456
I02.png,I02_05_04.png,5,4,0.482,1.37,0.2575333,0.21190707,28.548077000000006,26.3329544067,10.224915,6.152092,7.349636,10.012093,13.313015
I02.png,I02_05_05.png,5,5,0.562,1.47,0.24489415,0.20583315,30.21587,26.8767223358,10.248822,6.050179,7.294697,10.053767,13.398002
I02.png,I02_06_01.png,6,1,0.872,4.2,0.0139142,0.07306949,6.802786,6.6935386658,3.186371,2.56068,2.700488,3.082937,3.775688
I02.png,I02_06_02.png,6,2,0.727,4.07,0.01807167,0.09782045,7.529895,7.595032692,3.73685,3.12943,3.294721,3.670749,4.245081
I02.png,I02_06_03.png,6,3,0.948,3.97,0.02460083,0.11121624,9.651286,9.0593862534,4.354833,3.469311,3.659846,4.199857,5.204795
I02.png,I02_06_04.png,6,4,0.936,3.7,0.04397441,0.15117813,18.292576,19.6746520996,7.760286,4.334307,4.846346,7.253599,11.180914
I02.png,I02_06_05.png,6,5,0.983,2.63,0.09150672,0.20521119,35.42265300000001,34.1039352417,13.773471,7.357488,8.351626,13.079857,19.88893
I02.png,I02_07_01.png,7,1,1.087,2.47,0.01527271,0.02370222,24.533669,29.2533187866,11.001726,5.356086,6.347005,10.363858,16.294315
I02.png,I02_07_02.png,7,2,1.048,2.37,0.02813452,0.04571064,32.378876,42.3764076233,15.417523,7.280709,8.652772,14.451603,23.148194
I02.png,I02_07_03.png,7,3,1.045,2.06,0.03620231,0.05971336,36.073776,46.8684272766,17.199193,8.238776,9.754073,16.116479,25.727027
I02.png,I02_07_04.png,7,4,1.048,1.97,0.04535108,0.07518917,39.584663,51.0343818665,18.885338,9.184776,10.835394,17.689187,28.131434
I02.png,I02_07_05.png,7,5,0.763,1.53,0.10181145,0.14127749,41.873928,47.2636299133,21.750855,16.135303,17.385865,20.868797,26.997903
I02.png,I02_08_01.png,8,1,0.5539999999999999,4.4,1.93e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I02.png,I02_08_02.png,8,2,0.879,3.4,0.01307296,0.0191124,16.950832000000002,19.2995586395,8.454624,5.561581,6.295855,8.084187,10.983831
I02.png,I02_08_03.png,8,3,1.043,3.06,0.03517183,0.04113516,20.170006,25.0016384125,12.567505,9.205438,10.27079,12.517588,14.914136
I02.png,I02_08_04.png,8,4,0.912,1.97,0.09567233,0.07819027,30.641077000000006,42.4045829773,20.536618,16.023157,17.492802,20.496674,23.620377
I02.png,I02_08_05.png,8,5,0.752,1.37,0.15954165,0.11000145,38.460033,52.5041618347,27.376699,21.449132,23.390898,27.382695,31.356505
I02.png,I02_09_01.png,9,1,0.716,4.57,0.03008812,0.07972011,6.813167999999999,7.1497745514,2.32937,1.666422,1.789076,2.171164,3.027871
I02.png,I02_09_02.png,9,2,0.8140000000000001,3.73,0.08981047,0.16494104,13.682534,14.2645721436,4.504386,3.156175,3.368052,4.130617,6.014489
I02.png,I02_09_03.png,9,3,1.123,3.07,0.12280928,0.20136592,14.862426,14.7632904053,5.047349,3.812679,4.030804,4.761342,6.349901
I02.png,I02_09_04.png,9,4,0.562,1.53,0.30157090000000003,0.32452319,32.089901,31.2191200256,10.295488,7.165629,7.674631,9.496278,13.715556
I02.png,I02_09_05.png,9,5,0.442,1.27,0.63173844,0.42161995,66.302673,47.3472061157,17.575132,12.507401,13.505135,16.539587,22.680676
I02.png,I02_10_01.png,10,1,0.5539999999999999,4.6,0.0229998,0.07740705,4.0138,3.1521012783,1.58051,1.402531,1.438238,1.546695,1.756598
I02.png,I02_10_02.png,10,2,0.596,4.33,0.02752361,0.08620089,3.98245,3.5198936462,1.727005,1.539194,1.577083,1.690967,1.912966
I02.png,I02_10_03.png,10,3,0.718,4.13,0.04162059,0.10949233,4.935139,4.8537735939,2.227988,1.997561,2.042827,2.17977,2.461367
I02.png,I02_10_04.png,10,4,1.281,2.6,0.16489742,0.23498161,12.693225,14.3484611511,5.625495,4.753208,4.894754,5.347975,6.633755
I02.png,I02_10_05.png,10,5,0.757,1.6,0.33807755,0.3365862,24.778526,22.5375652313,9.638029,7.651697,7.99795,9.155675,11.760463
I02.png,I02_11_01.png,11,1,0.929,4.27,0.01351972,0.09200361,5.019426,2.9204730988,1.403447,1.141722,1.204363,1.375563,1.630416
I02.png,I02_11_02.png,11,2,0.936,3.7,0.02542384,0.13318418,6.447807,3.7706973553,1.913308,1.647873,1.712293,1.882822,2.144809
I02.png,I02_11_03.png,11,3,0.841,3.4,0.03738307,0.16566582,7.556722,4.9613175392,2.408607,2.094462,2.172317,2.375462,2.678042
I02.png,I02_11_04.png,11,4,0.772,2.73,0.0572432,0.20374655,9.176138,6.0215368271,3.240658,2.805572,2.916441,3.205197,3.600335
I02.png,I02_11_05.png,11,5,0.69,2.3,0.10579104,0.27037035,11.541617,8.3703231812,5.342581,4.516381,4.74948,5.311565,5.966699
I02.png,I02_12_01.png,12,1,0.547,4.63,0.00356256,0.03791604,2.8142240000000003,1.9210164547,0.850811,0.610373,0.669958,0.833936,1.048541
